base_model_id,layer_index,alpha,w,hidden_size,intermediate_size,max_rank,uniform_rank,uniform_rank_ratio,rank_signal_raw,rank_signal,importance_signal_raw,importance_signal,protection_score,mlp_input_effective_rank_centered_ratio,mlp_output_effective_rank_centered_ratio,mlp_output_uncentered_trace_log,raw_rank,clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,target_rank_ratio
Llama-3.2-1B,0,0.5,0.25,2048,8192,2048,819,0.39990234375,0.20527167641557753,0.009387032211171788,1.8611915490245763,0.054281963754551535,0.0430582308687066,0.4049420952796936,0.005601257551461458,1.8611915490245763,94.05306175462864,94.05306175462864,94,0.0530617546286436,94,0,0.0458984375
Llama-3.2-1B,1,0.5,0.25,2048,8192,2048,819,0.39990234375,0.22427294641966,0.07308119590572003,7.138205082327674,0.999265525891321,0.7677194433949207,0.44803813099861145,0.0005077618407085538,7.138205082327674,1676.946840663836,1676.946840663836,1676,0.9468406638359284,1677,1,0.81884765625
Llama-3.2-1B,2,0.5,0.25,2048,8192,2048,819,0.39990234375,0.4879748076200485,0.957036295235705,1.5580681204018267,0.0,0.23925907380892625,0.4718910753726959,0.5040585398674011,1.5580681204018267,522.6189741265174,522.6189741265174,522,0.6189741265174007,523,1,0.25537109375
Llama-3.2-1B,3,0.5,0.25,2048,8192,2048,819,0.39990234375,0.5007917582988739,1.0,1.8933533489626864,0.06004135248426388,0.2950310143631979,0.4729703664779663,0.5286131501197815,1.8933533489626864,644.4428777866809,644.4428777866809,644,0.44287778668092415,644,0,0.314453125
Llama-3.2-1B,4,0.5,0.25,2048,8192,2048,819,0.39990234375,0.48103734850883484,0.9337812361707614,2.043169225075514,0.0868696976041454,0.29859758224579935,0.4542410373687744,0.5078336596488953,2.043169225075514,652.233412198957,652.233412198957,652,0.23341219895701215,652,0,0.318359375
Llama-3.2-1B,5,0.5,0.25,2048,8192,2048,819,0.39990234375,0.4370584487915039,0.7863595513518017,2.1677055499401066,0.10917109576112546,0.2784682096587945,0.4282119870185852,0.4459049105644226,2.1677055499401066,608.2643710931962,608.2643710931962,608,0.26437109319624597,608,0,0.296875
Llama-3.2-1B,6,0.5,0.25,2048,8192,2048,819,0.39990234375,0.44676361978054047,0.8188922583512003,2.0883709814575218,0.0949642223748581,0.27594623136894364,0.4209687411785126,0.47255849838256836,2.0883709814575218,602.7555572136282,602.7555572136282,602,0.755557213628208,603,1,0.29443359375
Llama-3.2-1B,7,0.5,0.25,2048,8192,2048,819,0.39990234375,0.43193894624710083,0.7691984651176812,2.2176736159382155,0.1181191495612494,0.2808889784503573,0.4037322402000427,0.46014565229415894,2.2176736159382155,613.5521107901843,613.5521107901843,613,0.5521107901843152,614,1,0.2998046875
Llama-3.2-1B,8,0.5,0.25,2048,8192,2048,819,0.39990234375,0.43762990832328796,0.7882751410441983,2.4416827257273823,0.15823368123408202,0.3157440461866111,0.36816585063934326,0.5070939660072327,2.4416827257273823,689.6868188848022,689.6868188848022,689,0.6868188848021646,690,1,0.3369140625
Llama-3.2-1B,9,0.5,0.25,2048,8192,2048,819,0.39990234375,0.42301158607006073,0.739273058007819,2.7118646078714157,0.20661662279790097,0.33978073160038047,0.3595889210700989,0.4864342510700226,2.7118646078714157,742.1906912452631,742.1906912452631,742,0.19069124526311043,742,0,0.3623046875
Llama-3.2-1B,10,0.5,0.25,2048,8192,2048,819,0.39990234375,0.43833890557289124,0.7906517709676462,2.9139599176722863,0.24280693092228067,0.37976814093362204,0.37254953384399414,0.5041282773017883,2.9139599176722863,829.5360884794147,829.5360884794147,829,0.5360884794147296,829,0,0.40478515625
Llama-3.2-1B,11,0.5,0.25,2048,8192,2048,819,0.39990234375,0.43017949163913727,0.7633005967231644,3.1055224322247237,0.2771110740197362,0.39865845469559325,0.38549262285232544,0.4748663604259491,3.1055224322247237,870.7986255361852,870.7986255361852,870,0.7986255361852272,871,1,0.42529296875
Llama-3.2-1B,12,0.5,0.25,2048,8192,2048,819,0.39990234375,0.4267789274454117,0.7519015643236227,3.2130584606949637,0.2963681364851873,0.4102514934447961,0.3812050223350525,0.4723528325557709,3.2130584606949637,896.121560719642,896.121560719642,896,0.12156071964204784,896,0,0.4375
Llama-3.2-1B,13,0.5,0.25,2048,8192,2048,819,0.39990234375,0.3909684866666794,0.6318613735129853,3.6912525249771053,0.3820009527374405,0.44446605793132665,0.3854740560054779,0.39646291732788086,3.6912525249771053,970.857203165605,970.857203165605,970,0.8572031656050285,971,1,0.47412109375
Llama-3.2-1B,14,0.5,0.25,2048,8192,2048,819,0.39990234375,0.3380151689052582,0.4543565388918925,4.297229144339034,0.4905164872764992,0.48147650018034754,0.40545913577079773,0.27057120203971863,4.297229144339034,1051.6999442672402,1051.6999442672402,1051,0.6999442672401983,1052,1,0.513671875
Llama-3.2-1B,15,0.5,0.25,2048,8192,2048,819,0.39990234375,0.2024713329738006,0.0,7.142306560878894,1.0,0.75,0.4026968777179718,0.0022457882296293974,7.142306560878894,1638.241862074218,1638.241862074218,1638,0.24186207421803374,1638,0,0.7998046875
