base_model_id,layer_index,alpha,w,hidden_size,intermediate_size,max_rank,uniform_rank,uniform_rank_ratio,rank_signal_raw,rank_signal,importance_signal_raw,importance_signal,protection_score,mlp_input_effective_rank_centered_ratio,mlp_output_effective_rank_centered_ratio,mlp_output_uncentered_trace_log,raw_rank,clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,target_rank_ratio
Llama-3.2-1B,0,0.5,0.5,2048,8192,2048,819,0.39990234375,0.20527167641557753,0.009387032211171788,1.8611915490245763,0.054281963754551535,0.03183449798286166,0.4049420952796936,0.005601257551461458,1.8611915490245763,56.20682390668256,56.20682390668256,56,0.20682390668255834,56,0,0.02734375
Llama-3.2-1B,1,0.5,0.5,2048,8192,2048,819,0.39990234375,0.22427294641966,0.07308119590572003,7.138205082327674,0.999265525891321,0.5361733608985205,0.44803813099861145,0.0005077618407085538,7.138205082327674,946.6648946592957,946.6648946592957,946,0.664894659295669,947,1,0.46240234375
Llama-3.2-1B,2,0.5,0.5,2048,8192,2048,819,0.39990234375,0.4879748076200485,0.957036295235705,1.5580681204018267,0.0,0.4785181476178525,0.4718910753726959,0.5040585398674011,1.5580681204018267,844.8691502466354,844.8691502466354,844,0.8691502466353995,845,1,0.41259765625
Llama-3.2-1B,3,0.5,0.5,2048,8192,2048,819,0.39990234375,0.5007917582988739,1.0,1.8933533489626864,0.06004135248426388,0.5300206762421319,0.4729703664779663,0.5286131501197815,1.8933533489626864,935.8017466611346,935.8017466611346,935,0.8017466611346435,936,1,0.45703125
Llama-3.2-1B,4,0.5,0.5,2048,8192,2048,819,0.39990234375,0.48103734850883484,0.9337812361707614,2.043169225075514,0.0868696976041454,0.5103254668874534,0.4542410373687744,0.5078336596488953,2.043169225075514,901.0279875586784,901.0279875586784,901,0.027987558678432833,901,0,0.43994140625
Llama-3.2-1B,5,0.5,0.5,2048,8192,2048,819,0.39990234375,0.4370584487915039,0.7863595513518017,2.1677055499401066,0.10917109576112546,0.4477653235564636,0.4282119870185852,0.4459049105644226,2.1677055499401066,790.572124184461,790.572124184461,790,0.5721241844610176,791,1,0.38623046875
Llama-3.2-1B,6,0.5,0.5,2048,8192,2048,819,0.39990234375,0.44676361978054047,0.8188922583512003,2.0883709814575218,0.0949642223748581,0.4569282403630292,0.4209687411785126,0.47255849838256836,2.0883709814575218,806.7501223955677,806.7501223955677,806,0.7501223955677006,807,1,0.39404296875
Llama-3.2-1B,7,0.5,0.5,2048,8192,2048,819,0.39990234375,0.43193894624710083,0.7691984651176812,2.2176736159382155,0.1181191495612494,0.4436588073394653,0.4037322402000427,0.46014565229415894,2.2176736159382155,783.3216805304407,783.3216805304407,783,0.3216805304407444,783,0,0.38232421875
Llama-3.2-1B,8,0.5,0.5,2048,8192,2048,819,0.39990234375,0.43762990832328796,0.7882751410441983,2.4416827257273823,0.15823368123408202,0.47325441113914013,0.36816585063934326,0.5070939660072327,2.4416827257273823,835.5755245230746,835.5755245230746,835,0.5755245230745913,836,1,0.408203125
Llama-3.2-1B,9,0.5,0.5,2048,8192,2048,819,0.39990234375,0.42301158607006073,0.739273058007819,2.7118646078714157,0.20661662279790097,0.47294484040285995,0.3595889210700989,0.4864342510700226,2.7118646078714157,835.0289480427377,835.0289480427377,835,0.028948042737738433,835,0,0.40771484375
Llama-3.2-1B,10,0.5,0.5,2048,8192,2048,819,0.39990234375,0.43833890557289124,0.7906517709676462,2.9139599176722863,0.24280693092228067,0.5167293509449634,0.37254953384399414,0.5041282773017883,2.9139599176722863,912.3346519117038,912.3346519117038,912,0.33465191170375874,912,0,0.4453125
Llama-3.2-1B,11,0.5,0.5,2048,8192,2048,819,0.39990234375,0.43017949163913727,0.7633005967231644,3.1055224322247237,0.2771110740197362,0.5202058353714503,0.38549262285232544,0.4748663604259491,3.1055224322247237,918.4727147163713,918.4727147163713,918,0.47271471637134255,918,0,0.4482421875
Llama-3.2-1B,12,0.5,0.5,2048,8192,2048,819,0.39990234375,0.4267789274454117,0.7519015643236227,3.2130584606949637,0.2963681364851873,0.524134850404405,0.3812050223350525,0.4723528325557709,3.2130584606949637,925.4097632039236,925.4097632039236,925,0.4097632039236032,925,0,0.45166015625
Llama-3.2-1B,13,0.5,0.5,2048,8192,2048,819,0.39990234375,0.3909684866666794,0.6318613735129853,3.6912525249771053,0.3820009527374405,0.5069311631252129,0.3854740560054779,0.39646291732788086,3.6912525249771053,895.0350225069678,895.0350225069678,895,0.03502250696783449,895,0,0.43701171875
Llama-3.2-1B,14,0.5,0.5,2048,8192,2048,819,0.39990234375,0.3380151689052582,0.4543565388918925,4.297229144339034,0.4905164872764992,0.4724365130841959,0.40545913577079773,0.27057120203971863,4.297229144339034,834.1314479752799,834.1314479752799,834,0.1314479752799116,834,0,0.4072265625
Llama-3.2-1B,15,0.5,0.5,2048,8192,2048,819,0.39990234375,0.2024713329738006,0.0,7.142306560878894,1.0,0.5,0.4026968777179718,0.0022457882296293974,7.142306560878894,882.7973969770453,882.7973969770453,882,0.7973969770453095,883,1,0.43115234375
