base_model_id,layer_index,token_count,hidden_size,mlp_input_hook_name,mlp_output_hook_name,gate_proj_weight_effective_rank,gate_proj_weight_effective_rank_ratio,up_proj_weight_effective_rank,up_proj_weight_effective_rank_ratio,mean_weight_effective_rank_ratio,mlp_input_effective_rank_centered,mlp_input_effective_rank_centered_ratio,mlp_input_effective_rank_uncentered,mlp_input_effective_rank_uncentered_ratio,mlp_output_effective_rank_centered,mlp_output_effective_rank_centered_ratio,mlp_output_effective_rank_uncentered,mlp_output_effective_rank_uncentered_ratio,mlp_output_uncentered_trace,mlp_output_uncentered_trace_log,residual_stream_uncentered_trace,residual_stream_uncentered_trace_log,output_to_residual_trace_ratio
SmolLM2-1.7B,0,65536,2048,post_attention_layernorm,mlp,1922.177490234375,0.9385632276535034,1936.051025390625,0.9453374147415161,0.9419503211975098,898.5443115234375,0.43874233961105347,557.5470581054688,0.2722397744655609,194.3242950439453,0.09488490968942642,178.58535766601562,0.08719988167285919,301.0521545410156,5.707283520639591,53.36417591571808,3.977139657835339,5.641465447091119
SmolLM2-1.7B,1,65536,2048,post_attention_layernorm,mlp,1950.9696044921875,0.9526218771934509,1965.6646728515625,0.959797203540802,0.9562095403671265,824.888427734375,0.4027775526046753,587.06494140625,0.2866528034210205,1.094470739364624,0.0005344095407053828,1.097771406173706,0.0005360211944207549,39171.46875,10.57570392276567,792.2197961807251,6.674838873742963,49.44520313534807
SmolLM2-1.7B,2,65536,2048,post_attention_layernorm,mlp,1947.929931640625,0.9511376619338989,1964.0279541015625,0.9589980244636536,0.9550678431987762,990.6007690429688,0.4836917817592621,748.5145263671875,0.36548560857772827,990.5573120117188,0.48367056250572205,886.9823608398438,0.43309685587882996,473.20355224609375,6.159525638935932,41223.008155822754,10.62675182984628,0.011479112597930427
SmolLM2-1.7B,3,65536,2048,post_attention_layernorm,mlp,1945.0302734375,0.9497218132019043,1962.1146240234375,0.9580637812614441,0.9538927972316742,961.8369750976562,0.46964696049690247,668.7017822265625,0.3265145421028137,971.4135131835938,0.47432300448417664,850.5291137695312,0.41529741883277893,753.4279174804688,6.6246333498945695,43007.15361022949,10.669121743867498,0.017518665018120654
SmolLM2-1.7B,4,65536,2048,post_attention_layernorm,mlp,1930.955322265625,0.9428492784500122,1958.857666015625,0.9564734697341919,0.949661374092102,996.0240478515625,0.48633986711502075,737.3380126953125,0.36002832651138306,970.8253784179688,0.4740358293056488,870.656494140625,0.42512524127960205,997.6600341796875,6.905412571163515,45728.21879577637,10.730470865440338,0.021817163678193283
SmolLM2-1.7B,5,65536,2048,post_attention_layernorm,mlp,1933.021728515625,0.94385826587677,1956.8924560546875,0.9555138945579529,0.9496860802173615,1063.922607421875,0.5194934606552124,819.9878540039062,0.40038469433784485,1111.7322998046875,0.5428380370140076,1040.5999755859375,0.508105456829071,1161.5882568359375,7.0575435345462365,49112.31063079834,10.801865008034357,0.023651671890743933
SmolLM2-1.7B,6,65536,2048,post_attention_layernorm,mlp,1939.606689453125,0.9470735788345337,1958.3365478515625,0.9562190175056458,0.9516462981700897,1090.481689453125,0.5324617624282837,756.9417724609375,0.36960047483444214,870.3634643554688,0.4249821603298187,826.2445678710938,0.4034397304058075,1586.442626953125,7.369249447087355,53495.504943847656,10.887352909613076,0.029655624872002944
SmolLM2-1.7B,7,65536,2048,post_attention_layernorm,mlp,1934.283935546875,0.9444745779037476,1956.470703125,0.9553079605102539,0.9498912692070007,980.1543579101562,0.4785909950733185,590.010498046875,0.2880910634994507,1.117109775543213,0.0005454637575894594,1.119271159172058,0.0005465191206894815,1347291.25,14.113606653252427,49468.4619140625,10.809090612452025,27.235357596937995
SmolLM2-1.7B,8,65536,2048,post_attention_layernorm,mlp,1916.917236328125,0.9359947443008423,1954.58251953125,0.9543859958648682,0.9451903700828552,1093.42822265625,0.5339004993438721,605.0064697265625,0.2954133152961731,906.9814453125,0.44286203384399414,854.5300903320312,0.41725102066993713,2976.456787109375,7.998488874466681,1349733.0341796875,14.115417378399526,0.0022052188927259558
SmolLM2-1.7B,9,65536,2048,post_attention_layernorm,mlp,1903.123779296875,0.9292596578598022,1944.870849609375,0.9496439695358276,0.9394518136978149,1006.7005615234375,0.49155300855636597,484.5057373046875,0.23657506704330444,875.5771484375,0.42752790451049805,671.09912109375,0.3276851177215576,3368.537841796875,8.122234054357763,1353647.154296875,14.11831310343956,0.0024884903212067807
SmolLM2-1.7B,10,65536,2048,post_attention_layernorm,mlp,1894.35498046875,0.9249780178070068,1941.779541015625,0.9481345415115356,0.9365562796592712,928.365478515625,0.4533034563064575,428.9195251464844,0.20943336188793182,887.0174560546875,0.4331139922142029,791.1138305664062,0.38628605008125305,3637.639404296875,8.19909023495072,1355756.2890625,14.11987000349948,0.0026831071584497595
SmolLM2-1.7B,11,65536,2048,post_attention_layernorm,mlp,1889.6546630859375,0.9226829409599304,1938.063720703125,0.9463201761245728,0.9345015585422516,888.7376708984375,0.4339539408683777,421.4383544921875,0.20578044652938843,826.7616577148438,0.40369221568107605,765.7880249023438,0.37391993403434753,3470.3486328125,8.15201033844523,1360622.408203125,14.123452806111532,0.002550559664378552
SmolLM2-1.7B,12,65536,2048,post_attention_layernorm,mlp,1883.19970703125,0.9195311069488525,1928.195068359375,0.9415014982223511,0.9305163025856018,901.3795776367188,0.4401267468929291,432.5107727050781,0.21118690073490143,916.4945678710938,0.4475071132183075,868.3334350585938,0.423990935087204,3694.30078125,8.214546581713494,1366724.759765625,14.127927749248602,0.002703032014934392
SmolLM2-1.7B,13,65536,2048,post_attention_layernorm,mlp,1892.213623046875,0.9239324331283569,1931.1265869140625,0.9429329037666321,0.9334326684474945,856.4248657226562,0.41817620396614075,394.6667175292969,0.192708358168602,891.918701171875,0.4355071783065796,808.5834350585938,0.394816130399704,4370.0703125,8.38253437777713,1374691.28515625,14.133739743988082,0.00317894669129534
SmolLM2-1.7B,14,65536,2048,post_attention_layernorm,mlp,1897.7635498046875,0.9266423583030701,1935.8035888671875,0.9452165961265564,0.9359294772148132,762.9873046875,0.37255239486694336,335.38848876953125,0.16376391053199768,805.0248413085938,0.3930785357952118,695.0126342773438,0.33936163783073425,5614.9384765625,8.633185910133442,1373306.8642578125,14.13273215887318,0.004088626236931414
SmolLM2-1.7B,15,65536,2048,post_attention_layernorm,mlp,1898.4912109375,0.9269976615905762,1931.0106201171875,0.9428762793540955,0.9349369704723358,720.8224487304688,0.3519640862941742,361.3945617675781,0.17646218836307526,931.8670654296875,0.4550132155418396,828.0537719726562,0.40432313084602356,8251.8076171875,9.018187560442342,1393739.3525390625,14.147500874727529,0.005920624686498709
SmolLM2-1.7B,16,65536,2048,post_attention_layernorm,mlp,1905.4564208984375,0.9303986430168152,1934.949951171875,0.9447997808456421,0.9375992119312286,695.4456176757812,0.33957305550575256,362.3282165527344,0.17691807448863983,993.234375,0.48497772216796875,882.0691528320312,0.43069782853126526,13798.599609375,9.532322388414576,1423069.3330078125,14.168326599010715,0.009696364955184687
SmolLM2-1.7B,17,65536,2048,post_attention_layernorm,mlp,1904.9168701171875,0.930135190486908,1930.9571533203125,0.9428501725196838,0.9364926815032959,700.428955078125,0.3420063257217407,363.16748046875,0.17732787132263184,968.9241943359375,0.4731075167655945,821.12646484375,0.4009406566619873,22466.525390625,10.019781719961404,1489291.244140625,14.213810889678959,0.015085380699722706
SmolLM2-1.7B,18,65536,2048,post_attention_layernorm,mlp,1907.5919189453125,0.9314413666725159,1929.046630859375,0.9419173002243042,0.93667933344841,734.3516845703125,0.3585701584815979,381.8494567871094,0.18644993007183075,948.1553955078125,0.4629665017127991,728.3416748046875,0.3556355834007263,40657.0390625,10.612927262654159,1578442.408203125,14.27194910117244,0.025757695593584158
SmolLM2-1.7B,19,65536,2048,post_attention_layernorm,mlp,1905.589111328125,0.930463433265686,1921.7734375,0.9383659362792969,0.9344146847724915,748.9508056640625,0.3656986355781555,444.12689208984375,0.21685883402824402,862.2846069335938,0.4210374057292938,650.461181640625,0.3176079988479614,71021.15625,11.170733086989728,1770074.990234375,14.386532471016594,0.04012324711768066
SmolLM2-1.7B,20,65536,2048,post_attention_layernorm,mlp,1909.63330078125,0.9324381351470947,1922.8228759765625,0.9388783574104309,0.9356582462787628,811.1774291992188,0.39608272910118103,547.2495727539062,0.2672117054462433,654.041015625,0.31935596466064453,623.2745361328125,0.30433326959609985,90735.21875,11.415700860073029,2112498.2265625,14.563381798716073,0.042951618897993676
SmolLM2-1.7B,21,65536,2048,post_attention_layernorm,mlp,1914.5540771484375,0.9348408579826355,1926.8218994140625,0.9408310055732727,0.9378359317779541,868.95849609375,0.42429614067077637,613.073974609375,0.2993525266647339,445.83837890625,0.21769452095031738,435.3031311035156,0.2125503569841385,120831.375,11.702151257580873,2632424.703125,14.78341591977968,0.045901170451925495
SmolLM2-1.7B,22,65536,2048,post_attention_layernorm,mlp,1920.828857421875,0.9379047155380249,1931.220458984375,0.9429787397384644,0.9404417276382446,784.6905517578125,0.3831496834754944,317.6363525390625,0.1550958752632141,22.019601821899414,0.010751758702099323,22.141328811645508,0.010811195708811283,419659.0625,12.947197904654896,3274256.041015625,15.001601238197392,0.1281692870817238
SmolLM2-1.7B,23,65536,2048,post_attention_layernorm,mlp,1926.1834716796875,0.9405192732810974,1937.8843994140625,0.9462326169013977,0.9433759450912476,650.95703125,0.31785011291503906,20.329864501953125,0.0099266916513443,35.19125747680664,0.017183231189846992,12.41147232055664,0.006060289219021797,3195604.0,14.977286673310356,3384892.556640625,15.034832722802783,0.9440784150535972
