base_model_id,layer_index,final_layer_index,hidden_size,token_count,gaussian_mi_logdet,gaussian_mi_cca,gaussian_mi_bits,residual_effective_rank,residual_effective_rank_ratio,top_5_canonical_correlations
SmolLM2-1.7B,0,23,2048,65536,145.693115234375,145.91856384277344,210.1907348402971,129.31597900390625,0.0631425678730011,"0.972707,0.969838,0.965829,0.956876,0.945530"
SmolLM2-1.7B,1,23,2048,65536,167.19482421875,inf,241.2111437626926,1.2211074829101562,0.0005962438881397247,"1048.899170,0.976466,0.972292,0.967810,0.958742"
SmolLM2-1.7B,2,23,2048,65536,178.75,178.73052978515625,257.8817385589022,1.4843416213989258,0.0007247761823236942,"0.976295,0.974650,0.970186,0.964420,0.952233"
SmolLM2-1.7B,3,23,2048,65536,188.310546875,188.4095001220703,271.6746921236512,1.963003158569336,0.0009584976360201836,"0.977374,0.976058,0.970718,0.965582,0.956696"
SmolLM2-1.7B,4,23,2048,65536,190.73388671875,190.7956085205078,275.170832498618,2.6761507987976074,0.0013067142572253942,"0.977893,0.976440,0.971208,0.965640,0.958668"
SmolLM2-1.7B,5,23,2048,65536,194.2431640625,194.24957275390625,280.23364951955006,3.6687850952148438,0.001791398972272873,"0.978346,0.976792,0.971636,0.966073,0.959486"
SmolLM2-1.7B,6,23,2048,65536,197.06640625,197.08084106445312,284.3067270226848,5.238141059875488,0.0025576860643923283,"0.979126,0.977687,0.973356,0.967198,0.960994"
SmolLM2-1.7B,7,23,2048,65536,200.7880859375,203.55938720703125,289.67597585161826,1.0983043909072876,0.000536281440872699,"0.979765,0.977930,0.973281,0.967827,0.961656"
SmolLM2-1.7B,8,23,2048,65536,219.97412109375,222.70565795898438,317.35557362586144,1.1161701679229736,0.0005450049648061395,"0.980433,0.979420,0.974365,0.970048,0.964120"
SmolLM2-1.7B,9,23,2048,65536,228.6103515625,231.13290405273438,329.81502049510124,1.136417031288147,0.0005548911285586655,"0.981386,0.979759,0.975798,0.970889,0.965551"
SmolLM2-1.7B,10,23,2048,65536,235.67724609375,238.1016387939453,340.01039418982094,1.1564773321151733,0.000564686197321862,"0.982830,0.981812,0.977828,0.972158,0.967986"
SmolLM2-1.7B,11,23,2048,65536,243.34130859375,245.15121459960938,351.067299151634,1.1784353256225586,0.0005754078738391399,"0.983598,0.982595,0.979037,0.972878,0.970394"
SmolLM2-1.7B,12,23,2048,65536,255.09765625,256.8105773925781,368.0281236142725,1.2021865844726562,0.0005870051681995392,"0.984860,0.984172,0.980784,0.975183,0.972870"
SmolLM2-1.7B,13,23,2048,65536,266.12548828125,267.4832763671875,383.93792219751333,1.2372726202011108,0.0006041370215825737,"0.986051,0.985489,0.983007,0.977288,0.975028"
SmolLM2-1.7B,14,23,2048,65536,289.4931640625,290.61724853515625,417.6503521642238,1.291794776916504,0.0006307591684162617,"0.987831,0.987008,0.985020,0.979593,0.977914"
SmolLM2-1.7B,15,23,2048,65536,331.73779296875,332.56329345703125,478.59646879146527,1.4019689559936523,0.0006845551542937756,"0.989930,0.989342,0.987442,0.982437,0.981973"
SmolLM2-1.7B,16,23,2048,65536,388.515625,388.9748840332031,560.5095654953761,1.6267253160476685,0.0007942994707264006,"0.991579,0.990819,0.989068,0.985150,0.985003"
SmolLM2-1.7B,17,23,2048,65536,464.5869140625,464.8482666015625,670.2572369798758,2.1034939289093018,0.001027096644975245,"0.993419,0.992869,0.990832,0.988120,0.987792"
SmolLM2-1.7B,18,23,2048,65536,579.63671875,579.7785034179688,836.2390196577759,3.0374560356140137,0.0014831328298896551,"0.994992,0.994678,0.992785,0.991336,0.991126"
SmolLM2-1.7B,19,23,2048,65536,757.4150390625,757.4960327148438,1092.7189207501892,5.462457656860352,0.0026672156527638435,"0.996285,0.996046,0.994533,0.994000,0.993645"
SmolLM2-1.7B,20,23,2048,65536,974.85546875,974.917724609375,1406.4191503491109,9.15599250793457,0.004470699466764927,"0.997314,0.997211,0.995827,0.995669,0.995335"
SmolLM2-1.7B,21,23,2048,65536,1351.43359375,1351.505615234375,1949.706543793875,14.521407127380371,0.007090530823916197,"0.998337,0.998182,0.997382,0.997292,0.996992"
SmolLM2-1.7B,22,23,2048,65536,2125.587890625,2125.61328125,3066.57510877832,131.08824157714844,0.06400793045759201,"0.999467,0.999345,0.999121,0.998942,0.998896"
SmolLM2-1.7B,23,23,2048,65536,nan,nan,nan,117.62727355957031,0.05743519216775894,
