layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,normalized_mlp_input_effective_rank,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,trace_mix,uniform_shrink,allocation_rule,target_factorized_param_ratio,trace_aware_unscaled_rank_score,trace_aware_shrunk_rank_score,trace_aware_score_mean_before_shrink,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
0,1024,1024,3072,3145728,4096,362.8796333190263,0.35437464191311163,0.8761449816399124,17.880733653903008,2.883723801001058,0.0,0.5,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.6133014871479386,0.5708280115021809,0.5283545358564232,1162.0984742844157,663.3583612454913,663.3583612454913,663,0.35836124549132364,663,0,614,17192,round,614.4,17203.2,0.7994791666666666
1,1024,1024,3072,3145728,4096,262.2029705967907,0.2560575884734284,0.5264088425030568,21.612548276782036,3.0732740847504436,0.021500568015680517,0.5107502840078403,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.37493636015684384,0.45164544800663353,0.5283545358564232,1162.0984742844157,524.8564860460102,524.8564860460102,524,0.8564860460102182,525,1,614,17192,round,614.4,17203.2,0.7994791666666666
2,1024,1024,3072,3145728,4096,281.9363457302062,0.2753284626271545,0.5949597285245866,90318.28329467773,11.411095191719502,0.967254308221021,0.9836271541105105,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.7066481024335168,0.6175013191449701,0.5283545358564232,1162.0984742844157,717.5973408469838,717.5973408469838,717,0.5973408469837977,718,1,614,17192,round,614.4,17203.2,0.7994791666666666
3,1024,1024,3072,3145728,4096,292.08552662010305,0.2852397720899444,0.6302165124093202,47.600313514471054,3.8628393476541514,0.11106045314001434,0.5555302265700072,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.4744696946285284,0.5014121152424758,0.5283545358564232,1162.0984742844157,582.6902541110027,582.6902541110027,582,0.6902541110026732,583,1,614,17192,round,614.4,17203.2,0.7994791666666666
4,1024,1024,3072,3145728,4096,359.68342205115255,0.35125334184682866,0.8650418067981326,57.30045059323311,4.0483084874460245,0.13209809959470004,0.56604904979735,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.6451586946371027,0.5867566152467629,0.5283545358564232,1162.0984742844157,681.8689673545512,681.8689673545512,681,0.8689673545511596,682,1,614,17192,round,614.4,17203.2,0.7994791666666666
5,1024,1024,3072,3145728,4096,398.53311179759856,0.38919249198984235,1.0,60.12588867545128,4.096440508781582,0.13755768413336306,0.5687788420666815,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.7412673052400088,0.634810920548216,0.5283545358564232,1162.0984742844157,737.7128022281672,737.7128022281672,737,0.7128022281672202,738,1,614,17192,round,614.4,17203.2,0.7994791666666666
6,1024,1024,3072,3145728,4096,389.26122067612187,0.38013791081652526,0.9677907936592105,70.38435551524162,4.253971015673989,0.1554262692443353,0.5777131346221677,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.7240814363347479,0.6262179860955855,0.5283545358564232,1162.0984742844157,727.7269662111394,727.7269662111394,727,0.72696621113937,728,1,614,17192,round,614.4,17203.2,0.7994791666666666
7,1024,1024,3072,3145728,4096,390.3439418736289,0.38119525573596574,0.9715520102226011,79.04982876777649,4.3700783975276005,0.16859625565262132,0.5842981278263106,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.7306652838516071,0.6295099098540151,0.5283545358564232,1162.0984742844157,731.552505788271,731.552505788271,731,0.5525057882709916,731,0,614,17192,round,614.4,17203.2,0.7994791666666666
8,1024,1024,3072,3145728,4096,365.0895207011852,0.3565327350597512,0.883821810212348,77.62460279464722,4.351884423263382,0.1665325247343359,0.5832662623671679,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.6686350245689443,0.5984947802126838,0.5283545358564232,1162.0984742844157,695.5098709523465,695.5098709523465,695,0.5098709523465459,695,0,614,17192,round,614.4,17203.2,0.7994791666666666
9,1024,1024,3072,3145728,4096,314.09405194513687,0.3067324726026727,0.7066709405473421,92.88763988018036,4.531390589392079,0.18689379488250904,0.5934468974412546,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.5507377968478921,0.5395461663521577,0.5283545358564232,1162.0984742844157,627.005776723848,627.005776723848,627,0.00577672384804373,627,0,614,17192,round,614.4,17203.2,0.7994791666666666
10,1024,1024,3072,3145728,4096,297.6504758270696,0.29067429279987267,0.6495483396422796,147.3824923634529,4.993031196333417,0.23925739504184912,0.6196286975209245,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.5264610562621505,0.5274077960592869,0.5283545358564232,1162.0984742844157,612.8997951262036,612.8997951262036,612,0.8997951262035713,613,1,614,17192,round,614.4,17203.2,0.7994791666666666
11,1024,1024,3072,3145728,4096,298.1661307997103,0.2911778621090921,0.6513396503033773,131.06204295158386,4.875670821400618,0.22594528242626144,0.6129726412131307,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.5237213399402425,0.5260379378983329,0.5283545358564232,1162.0984742844157,611.3078850473728,611.3078850473728,611,0.30788504737279254,611,0,614,17192,round,614.4,17203.2,0.7994791666666666
12,1024,1024,3072,3145728,4096,297.410779664746,0.2904402145163535,0.6487156699042265,136.17220449447632,4.9139202942870455,0.23028389578569,0.615141947892845,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.5231861376686655,0.5257703367625444,0.5283545358564232,1162.0984742844157,610.9969061757563,610.9969061757563,610,0.996906175756294,611,1,614,17192,round,614.4,17203.2,0.7994791666666666
13,1024,1024,3072,3145728,4096,299.3761626409108,0.2923595338290145,0.6555431255967699,135.45276433229446,4.908622976830011,0.2296830244388752,0.6148415122194376,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.5277850952494014,0.5280698155529123,0.5283545358564232,1162.0984742844157,613.6691269696922,613.6691269696922,613,0.6691269696922291,614,1,614,17192,round,614.4,17203.2,0.7994791666666666
14,1024,1024,3072,3145728,4096,298.1413112623489,0.2911536242796376,0.6512534308267158,158.63427424430847,5.066601390798636,0.2476024153643597,0.6238012076821798,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.530158126188009,0.529256331022216,0.5283545358564232,1162.0984742844157,615.047974786285,615.047974786285,615,0.04797478628495355,615,0,614,17192,round,614.4,17203.2,0.7994791666666666
15,1024,1024,3072,3145728,4096,251.6299821720854,0.24573240446492714,0.4896798126483712,240.63357400894165,5.483275336652188,0.2948654757828347,0.6474327378914173,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.4312355115887102,0.4797950237225667,0.5283545358564232,1162.0984742844157,557.5690650372499,557.5690650372499,557,0.5690650372498567,558,1,614,17192,round,614.4,17203.2,0.7994791666666666
16,1024,1024,3072,3145728,4096,219.80522009772315,0.21465353525168276,0.3791252003292817,724.3226075172424,6.585236883633182,0.4198602725347873,0.7099301362673937,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.3913457219909333,0.45985012892367827,0.5283545358564232,1162.0984742844157,534.3911332216984,534.3911332216984,534,0.3911332216983965,534,0,614,17192,round,614.4,17203.2,0.7994791666666666
17,1024,1024,3072,3145728,4096,197.92164951083603,0.19328286085042581,0.30310484684674227,770.0903038978577,6.646507785760653,0.4268101919573061,0.7134050959786531,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.3402164503799114,0.43428549311816733,0.5283545358564232,1162.0984742844157,504.68250895647736,504.68250895647736,504,0.6825089564773634,505,1,614,17192,round,614.4,17203.2,0.7994791666666666
18,1024,1024,3072,3145728,4096,200.4981937471705,0.19579901733122118,0.3120553882052403,1198.0179481506348,7.088423760324968,0.4769364396230609,0.7384682198115304,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.3615197036305865,0.44493711974350486,0.5283545358564232,1162.0984742844157,517.0607480064294,517.0607480064294,517,0.06074800642943501,517,0,614,17192,round,614.4,17203.2,0.7994791666666666
19,1024,1024,3072,3145728,4096,207.32949709019636,0.20247021200214488,0.33578634622332815,2415.680944442749,7.7897364909147,0.5564858961896542,0.7782429480948271,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.40199621121322593,0.4651753735348246,0.5283545358564232,1162.0984742844157,540.5795918595028,540.5795918595028,540,0.5795918595027842,541,1,614,17192,round,614.4,17203.2,0.7994791666666666
20,1024,1024,3072,3145728,4096,212.8535873720566,0.20786483141802403,0.3549762354705661,3530.3433628082275,8.169150415114276,0.5995225760721008,0.7997612880360504,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.4283401376510265,0.47834733675372487,0.5283545358564232,1162.0984742844157,555.8867102195173,555.8867102195173,555,0.8867102195173402,556,1,614,17192,round,614.4,17203.2,0.7994791666666666
21,1024,1024,3072,3145728,4096,241.33974139415142,0.235683341205226,0.45393300715092977,5855.095432281494,8.67506757517849,0.6569084374651774,0.8284542187325887,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.5148256362452039,0.5215900860508136,0.5283545358564232,1162.0984742844157,606.1390432015276,606.1390432015276,606,0.13904320152755645,606,0,614,17192,round,614.4,17203.2,0.7994791666666666
22,1024,1024,3072,3145728,4096,252.63023868510336,0.24670921746592125,0.4931545588462518,7201.595020294189,8.882057811066282,0.6803872081494321,0.840193604074716,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.5493243536372059,0.5388394447468146,0.5283545358564232,1162.0984742844157,626.184496624535,626.184496624535,626,0.1844966245349724,626,0,614,17192,round,614.4,17203.2,0.7994791666666666
23,1024,1024,3072,3145728,4096,262.9352776122106,0.2567727320431744,0.5289527709697999,7674.694416046143,8.945683756163866,0.6876042585968019,0.8438021292984009,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.5765482172579004,0.5524513765571618,0.5283545358564232,1162.0984742844157,642.002901813403,642.002901813403,642,0.0029018134030138754,642,0,614,17192,round,614.4,17203.2,0.7994791666666666
24,1024,1024,3072,3145728,4096,276.6342071631844,0.27015059293279725,0.5765408673758521,9804.912853240967,9.190638850599205,0.7153893590172148,0.8576946795086073,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.6181954148682609,0.5732749753623421,0.5283545358564232,1162.0984742844157,666.2019742140137,666.2019742140137,666,0.20197421401371685,666,0,614,17192,round,614.4,17203.2,0.7994791666666666
25,1024,1024,3072,3145728,4096,264.3927114227268,0.25819600724875663,0.5340156848582324,11593.309711456299,9.35818346169838,0.7343938375932603,0.8671969187966302,2.883723801001058,11.699783153997922,0.8,0.5,0.3,0.5,mixture,0.8,0.5941291306787407,0.5612418332675819,0.5283545358564232,1162.0984742844157,652.2182781448454,652.2182781448454,652,0.2182781448453852,652,0,614,17192,round,614.4,17203.2,0.7994791666666666
