layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,target_factorized_param_ratio,trace_aware_unscaled_rank_score,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
1,1024,1024,3072,3145728,4096,262.2029705967907,0.2560575884734284,21.612548276782036,3.0732740847504436,0.0,0.5,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,131.10148529839535,2.0056511295037236,262.94384206834246,262.94384206834246,262,0.9438420683424624,263,1,384,9984,round,384.0,9984.0,0.5
2,1024,1024,3072,3145728,4096,281.9363457302062,0.2753284626271545,90318.28329467773,11.411095191719502,1.0,1.0,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,281.9363457302062,2.0056511295037236,565.4659502619404,565.4659502619404,565,0.46595026194040656,565,0,384,9984,round,384.0,9984.0,0.5
3,1024,1024,3072,3145728,4096,292.08552662010305,0.2852397720899444,47.600313514471054,3.8628393476541514,0.09469683419373917,0.5473484170968695,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,159.87255065241897,2.0056511295037236,320.64856179266536,320.64856179266536,320,0.6485617926653617,321,1,384,9984,round,384.0,9984.0,0.5
4,1024,1024,3072,3145728,4096,359.68342205115255,0.35125334184682866,57.30045059323311,4.0483084874460245,0.11694115167338036,0.5584705758366901,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,200.8726078318184,2.0056511295037236,402.88037278424514,402.88037278424514,402,0.8803727842451394,403,1,384,9984,round,384.0,9984.0,0.5
5,1024,1024,3072,3145728,4096,398.53311179759856,0.38919249198984235,60.12588867545128,4.096440508781582,0.12271388542696576,0.5613569427134829,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,223.7193292087906,2.0056511295037236,448.7029253194263,448.7029253194263,448,0.7029253194262992,449,1,384,9984,round,384.0,9984.0,0.5
6,1024,1024,3072,3145728,4096,389.26122067612187,0.38013791081652526,70.38435551524162,4.253971015673989,0.14160737149141703,0.5708036857457085,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,222.19173947980394,2.0056511295037236,445.6391132540659,445.6391132540659,445,0.6391132540658759,446,1,384,9984,round,384.0,9984.0,0.5
7,1024,1024,3072,3145728,4096,390.3439418736289,0.38119525573596574,79.04982876777649,4.3700783975276005,0.1555327580359382,0.5777663790179691,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,225.5276058679272,2.0056511295037236,452.3296974432788,452.3296974432788,452,0.32969744327880335,452,0,384,9984,round,384.0,9984.0,0.5
8,1024,1024,3072,3145728,4096,365.0895207011852,0.3565327350597512,77.62460279464722,4.351884423263382,0.15335065625769162,0.5766753281288458,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,210.53811914675904,2.0056511295037236,422.2660164702868,422.2660164702868,422,0.266016470286786,422,0,384,9984,round,384.0,9984.0,0.5
9,1024,1024,3072,3145728,4096,314.09405194513687,0.3067324726026727,92.88763988018036,4.531390589392079,0.1748798020411937,0.5874399010205968,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,184.5113787858094,2.0056511295037236,370.065455268048,370.065455268048,370,0.06545526804802648,370,0,384,9984,round,384.0,9984.0,0.5
10,1024,1024,3072,3145728,4096,297.6504758270696,0.29067429279987267,147.3824923634529,4.993031196333417,0.23024685789652763,0.6151234289482638,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,183.09178131882936,2.0056511295037236,367.2182380049589,367.2182380049589,367,0.21823800495889145,367,0,384,9984,round,384.0,9984.0,0.5
11,1024,1024,3072,3145728,4096,298.1661307997103,0.2911778621090921,131.06204295158386,4.875670821400618,0.21617119311227062,0.6080855965561354,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,181.31052952017652,2.0056511295037236,363.64566832306025,363.64566832306025,363,0.6456683230602493,364,1,384,9984,round,384.0,9984.0,0.5
12,1024,1024,3072,3145728,4096,297.410779664746,0.2904402145163535,136.17220449447632,4.9139202942870455,0.22075865935743352,0.6103793296787168,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,181.53339233099217,2.0056511295037236,364.09265337129705,364.09265337129705,364,0.09265337129704676,364,0,384,9984,round,384.0,9984.0,0.5
13,1024,1024,3072,3145728,4096,299.3761626409108,0.2923595338290145,135.45276433229446,4.908622976830011,0.22012332341185814,0.6100616617059291,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,182.63791925585855,2.0056511295037236,366.3079490457226,366.3079490457226,366,0.3079490457225802,366,0,384,9984,round,384.0,9984.0,0.5
14,1024,1024,3072,3145728,4096,298.1413112623489,0.2911536242796376,158.63427424430847,5.066601390798636,0.239070529395515,0.6195352646977575,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,184.70905619025584,2.0056511295037236,370.4619271775534,370.4619271775534,370,0.46192717755337753,370,0,384,9984,round,384.0,9984.0,0.5
15,1024,1024,3072,3145728,4096,251.6299821720854,0.24573240446492714,240.63357400894165,5.483275336652188,0.28904449027904616,0.644522245139523,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,162.18112105397063,2.0056511295037236,325.2787486260763,325.2787486260763,325,0.27874862607632167,325,0,384,9984,round,384.0,9984.0,0.5
16,1024,1024,3072,3145728,4096,219.80522009772315,0.21465353525168276,724.3226075172424,6.585236883633182,0.42120870114942977,0.7106043505747148,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,156.19454568047482,2.0056511295037236,313.27176696636525,313.27176696636525,313,0.27176696636524866,313,0,384,9984,round,384.0,9984.0,0.5
17,1024,1024,3072,3145728,4096,197.92164951083603,0.19328286085042581,770.0903038978577,6.646507785760653,0.4285572519688109,0.7142786259844054,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,141.37120386516702,2.0056511295037236,283.54131471147343,283.54131471147343,283,0.5413147114734329,284,1,384,9984,round,384.0,9984.0,0.5
18,1024,1024,3072,3145728,4096,200.4981937471705,0.19579901733122118,1198.0179481506348,7.088423760324968,0.48155862593627896,0.7407793129681395,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,148.52491421538187,2.0056511295037236,297.8891619555243,297.8891619555243,297,0.8891619555242869,298,1,384,9984,round,384.0,9984.0,0.5
19,1024,1024,3072,3145728,4096,207.32949709019636,0.20247021200214488,2415.680944442749,7.7897364909147,0.5656708564090039,0.782835428204502,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,162.30487563402792,2.0056511295037236,325.52695713934946,325.52695713934946,325,0.526957139349463,326,1,384,9984,round,384.0,9984.0,0.5
20,1024,1024,3072,3145728,4096,212.8535873720566,0.20786483141802403,3530.3433628082275,8.169150415114276,0.6111760212874452,0.8055880106437225,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,171.47229800943487,2.0056511295037236,343.9136081812221,343.9136081812221,343,0.9136081812221164,344,1,384,9984,round,384.0,9984.0,0.5
21,1024,1024,3072,3145728,4096,241.33974139415142,0.235683341205226,5855.095432281494,8.67506757517849,0.6718534037322844,0.8359267018661423,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,201.74233405284068,2.0056511295037236,404.62474016179743,404.62474016179743,404,0.6247401617974333,405,1,384,9984,round,384.0,9984.0,0.5
22,1024,1024,3072,3145728,4096,252.63023868510336,0.24670921746592125,7201.595020294189,8.882057811066282,0.6966788627139819,0.848339431356991,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,214.31619302970148,2.0056511295037236,429.84351462095884,429.84351462095884,429,0.8435146209588424,430,1,384,9984,round,384.0,9984.0,0.5
23,1024,1024,3072,3145728,4096,262.9352776122106,0.2567727320431744,7674.694416046143,8.945683756163866,0.7043098665795366,0.8521549332897683,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,224.06159395316004,2.0056511295037236,449.3893889905601,449.3893889905601,449,0.38938899056012133,449,0,384,9984,round,384.0,9984.0,0.5
24,1024,1024,3072,3145728,4096,276.6342071631844,0.27015059293279725,9804.912853240967,9.190638850599205,0.7336886564687316,0.8668443282343659,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,239.79879347501696,2.0056511295037236,480.95272098679794,480.95272098679794,480,0.9527209867979423,481,1,384,9984,round,384.0,9984.0,0.5
25,1024,1024,3072,3145728,4096,264.3927114227268,0.25819600724875663,11593.309711456299,9.35818346169838,0.7537831882354463,0.8768915941177231,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,231.84374619258205,2.0056511295037236,464.9976714195268,464.9976714195268,464,0.9976714195267959,465,1,384,9984,round,384.0,9984.0,0.5
26,1024,1024,3072,3145728,4096,190.06757798184532,0.18561286912289582,16323.916290283203,9.700386568497551,0.7948254584411654,0.8974127292205827,3.0732740847504436,11.411095191719502,0.5,0.5,0.5,170.56906389303373,2.0056511295037236,342.1020356554559,342.1020356554559,342,0.10203565545589299,342,0,384,9984,round,384.0,9984.0,0.5
