layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,target_factorized_param_ratio,trace_aware_unscaled_rank_score,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
1,1024,1024,3072,3145728,4096,262.2029705967907,0.2560575884734284,21.612548276782036,3.0732740847504436,0.0,0.7,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,183.54207941775348,2.364608955197828,434.0052446468508,434.0052446468508,434,0.005244646850826484,434,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
2,1024,1024,3072,3145728,4096,281.9363457302062,0.2753284626271545,90318.28329467773,11.411095191719502,1.0,1.0,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,281.9363457302062,2.364608955197828,666.6692079093965,666.6692079093965,666,0.6692079093965049,667,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
3,1024,1024,3072,3145728,4096,292.08552662010305,0.2852397720899444,47.600313514471054,3.8628393476541514,0.09469683419373917,0.7284090502581217,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,212.7577410394926,2.364608955197828,503.08885974964466,503.08885974964466,503,0.08885974964465504,503,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
4,1024,1024,3072,3145728,4096,359.68342205115255,0.35125334184682866,57.30045059323311,4.0483084874460245,0.11694115167338036,0.7350823455020141,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,264.3969335195521,2.364608955197828,625.1953567271777,625.1953567271777,625,0.19535672717768193,625,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
5,1024,1024,3072,3145728,4096,398.53311179759856,0.38919249198984235,60.12588867545128,4.096440508781582,0.12271388542696576,0.7368141656280897,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,293.64484224431374,2.364608955197828,694.3552236185577,694.3552236185577,694,0.3552236185577158,694,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
6,1024,1024,3072,3145728,4096,389.26122067612187,0.38013791081652526,70.38435551524162,4.253971015673989,0.14160737149141703,0.7424822114474251,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,289.01953195833113,2.364608955197828,683.4181734957547,683.4181734957547,683,0.41817349575467233,683,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
7,1024,1024,3072,3145728,4096,390.3439418736289,0.38119525573596574,79.04982876777649,4.3700783975276005,0.1555327580359382,0.7466598274107814,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,291.45414027020786,2.364608955197828,689.1750701124174,689.1750701124174,689,0.17507011241741566,689,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
8,1024,1024,3072,3145728,4096,365.0895207011852,0.3565327350597512,77.62460279464722,4.351884423263382,0.15335065625769162,0.7460051968773075,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,272.3586797685295,2.364608955197828,644.0217732065223,644.0217732065223,644,0.02177320652231174,644,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
9,1024,1024,3072,3145728,4096,314.09405194513687,0.3067324726026727,92.88763988018036,4.531390589392079,0.1748798020411937,0.7524639406123581,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,236.3444480495404,2.364608955197828,558.8621983692311,558.8621983692311,558,0.8621983692311233,559,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
10,1024,1024,3072,3145728,4096,297.6504758270696,0.29067429279987267,147.3824923634529,4.993031196333417,0.23024685789652763,0.7690740573689583,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,228.91525912212546,2.364608955197828,541.2950717016091,541.2950717016091,541,0.29507170160911755,541,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
11,1024,1024,3072,3145728,4096,298.1661307997103,0.2911778621090921,131.06204295158386,4.875670821400618,0.21617119311227062,0.7648513579336812,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,228.05277003199,2.364608955197828,539.2556222753144,539.2556222753144,539,0.2556222753144084,539,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
12,1024,1024,3072,3145728,4096,297.410779664746,0.2904402145163535,136.17220449447632,4.9139202942870455,0.22075865935743352,0.76622759780723,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,227.8843472644937,2.364608955197828,538.8573682910335,538.8573682910335,538,0.857368291033481,539,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
13,1024,1024,3072,3145728,4096,299.3761626409108,0.2923595338290145,135.45276433229446,4.908622976830011,0.22012332341185814,0.7660369970235574,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,229.33321660987946,2.364608955197828,542.2833777200442,542.2833777200442,542,0.28337772004420003,542,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
14,1024,1024,3072,3145728,4096,298.1413112623489,0.2911536242796376,158.63427424430847,5.066601390798636,0.239070529395515,0.7717211588186544,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,230.08195821909302,2.364608955197828,544.0538588343198,544.0538588343198,544,0.05385883431983984,544,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
15,1024,1024,3072,3145728,4096,251.6299821720854,0.24573240446492714,240.63357400894165,5.483275336652188,0.28904449027904616,0.7867133470837138,3.0732740847504436,11.411095191719502,0.7,0.7,0.7,197.9606655012165,2.364608955197828,468.0995624210983,468.0995624210983,468,0.09956242109831237,468,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
