layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,normalized_mlp_input_effective_rank,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,trace_mix,uniform_shrink,allocation_rule,target_factorized_param_ratio,trace_aware_unscaled_rank_score,trace_aware_shrunk_rank_score,trace_aware_score_mean_before_shrink,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
0,1024,1024,3072,3145728,4096,362.8796333190263,0.35437464191311163,0.8761449816399124,17.880733653903008,2.883723801001058,0.0,0.5,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.26284349449197375,0.35935553188669067,0.45586756928140765,1346.8823872859818,484.0096366719697,484.0096366719697,484,0.009636671969701638,484,0,614,17192,round,614.4,17203.2,0.7994791666666666
1,1024,1024,3072,3145728,4096,262.2029705967907,0.2560575884734284,0.5264088425030568,21.612548276782036,3.0732740847504436,0.021500568015680517,0.5107502840078403,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.17297305036189342,0.31442030982165053,0.45586756928140765,1346.8823872859818,423.48717750378273,423.48717750378273,423,0.48717750378273195,424,1,614,17192,round,614.4,17203.2,0.7994791666666666
2,1024,1024,3072,3145728,4096,281.9363457302062,0.2753284626271545,0.5949597285245866,90318.28329467773,11.411095191719502,0.967254308221021,0.9836271541105105,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.8555659343120906,0.6557167517967492,0.45586756928140765,1346.8823872859818,883.1733440434151,883.1733440434151,883,0.17334404341511345,883,0,614,17192,round,614.4,17203.2,0.7994791666666666
3,1024,1024,3072,3145728,4096,292.08552662010305,0.2852397720899444,0.6302165124093202,47.600313514471054,3.8628393476541514,0.11106045314001434,0.5555302265700072,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.26680727092080614,0.3613374201011069,0.45586756928140765,1346.8823872859818,486.6790070015366,486.6790070015366,486,0.6790070015366041,487,1,614,17192,round,614.4,17203.2,0.7994791666666666
4,1024,1024,3072,3145728,4096,359.68342205115255,0.35125334184682866,0.8650418067981326,57.30045059323311,4.0483084874460245,0.13209809959470004,0.56604904979735,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.35198121175572983,0.40392439051856877,0.45586756928140765,1346.8823872859818,544.0386473846851,544.0386473846851,544,0.03864738468507767,544,0,614,17192,round,614.4,17203.2,0.7994791666666666
5,1024,1024,3072,3145728,4096,398.53311179759856,0.38919249198984235,1.0,60.12588867545128,4.096440508781582,0.13755768413336306,0.5687788420666815,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.39629037889335417,0.42607897408738094,0.45586756928140765,1346.8823872859818,573.8782657911736,573.8782657911736,573,0.8782657911735896,574,1,614,17192,round,614.4,17203.2,0.7994791666666666
6,1024,1024,3072,3145728,4096,389.26122067612187,0.38013791081652526,0.9677907936592105,70.38435551524162,4.253971015673989,0.1554262692443353,0.5777131346221677,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.39913562656879786,0.4275015979251028,0.45586756928140765,1346.8823872859818,575.7943727819344,575.7943727819344,575,0.7943727819343849,576,1,614,17192,round,614.4,17203.2,0.7994791666666666
7,1024,1024,3072,3145728,4096,390.3439418736289,0.38119525573596574,0.9715520102226011,79.04982876777649,4.3700783975276005,0.16859625565262132,0.5842981278263106,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.40948298202361527,0.43267527565251146,0.45586756928140765,1346.8823872859818,582.7627081904749,582.7627081904749,582,0.762708190474882,583,1,614,17192,round,614.4,17203.2,0.7994791666666666
8,1024,1024,3072,3145728,4096,365.0895207011852,0.3565327350597512,0.883821810212348,77.62460279464722,4.351884423263382,0.1665325247343359,0.5832662623671679,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.38171931037773954,0.4187934398295736,0.45586756928140765,1346.8823872859818,564.0655080173643,564.0655080173643,564,0.06550801736432277,564,0,614,17192,round,614.4,17203.2,0.7994791666666666
9,1024,1024,3072,3145728,4096,314.09405194513687,0.3067324726026727,0.7066709405473421,92.88763988018036,4.531390589392079,0.18689379488250904,0.5934468974412546,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.342826938581959,0.39934725393168335,0.45586756928140765,1346.8823872859818,537.8737827316069,537.8737827316069,537,0.873782731606866,538,1,614,17192,round,614.4,17203.2,0.7994791666666666
10,1024,1024,3072,3145728,4096,297.6504758270696,0.29067429279987267,0.6495483396422796,147.3824923634529,4.993031196333417,0.23925739504184912,0.6196286975209245,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.36234467842197826,0.409106123851693,0.45586756928140765,1346.8823872859818,551.0178327466828,551.0178327466828,551,0.017832746682756806,551,0,614,17192,round,614.4,17203.2,0.7994791666666666
11,1024,1024,3072,3145728,4096,298.1661307997103,0.2911778621090921,0.6513396503033773,131.06204295158386,4.875670821400618,0.22594528242626144,0.6129726412131307,2.883723801001058,11.699783153997922,0.8,0.5,0.7,0.5,mixture,0.8,0.3535635927893962,0.40471558103540195,0.45586756928140765,1346.8823872859818,545.1042879567955,545.1042879567955,545,0.1042879567954742,545,0,614,17192,round,614.4,17203.2,0.7994791666666666
