base_model_id,layer_index,alpha,w,hidden_size,intermediate_size,max_rank,uniform_rank,uniform_rank_ratio,rank_signal_raw,rank_signal,importance_signal_raw,importance_signal,protection_score,mlp_input_effective_rank_centered_ratio,mlp_output_effective_rank_centered_ratio,mlp_output_uncentered_trace_log,raw_rank,clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,target_rank_ratio
Qwen3-0.6B,0,0.5,0.25,1024,3072,1024,384,0.375,0.3931065499782562,0.8104531324396645,2.8837237918340533,0.0,0.20261328310991614,0.3543747663497925,0.43183833360671997,2.8837237918340533,166.65625448514297,166.65625448514297,166,0.6562544851429664,167,1,0.1630859375
Qwen3-0.6B,1,0.5,0.25,1024,3072,1024,384,0.375,0.33867600560188293,0.6793775527249376,3.0732739337569326,0.02150055242095408,0.18596980249694997,0.2560577392578125,0.42129427194595337,3.0732739337569326,152.96643070864212,152.96643070864212,152,0.9664307086421218,153,1,0.1494140625
Qwen3-0.6B,2,0.5,0.25,1024,3072,1024,384,0.375,0.138154007086996,0.19649542280996765,11.411095861077905,0.9672544073449042,0.7745646612111701,0.27532777190208435,0.0009802422719076276,11.411095861077905,637.1055407259707,637.1055407259707,637,0.10554072597074082,637,0,0.6220703125
Qwen3-0.6B,3,0.5,0.25,1024,3072,1024,384,0.375,0.40402117371559143,0.8367369157479264,3.862839220556841,0.11106044230757832,0.29247956066766534,0.2852398157119751,0.5228025317192078,3.862839220556841,240.57429673991442,240.57429673991442,240,0.5742967399144163,241,1,0.2353515625
Qwen3-0.6B,4,0.5,0.25,1024,3072,1024,384,0.375,0.43755054473876953,0.9174798477668266,4.048308266400844,0.1320980785877757,0.3284435208825384,0.3512532114982605,0.5238478779792786,4.048308266400844,270.1558661901856,270.1558661901856,270,0.15586619018557712,270,0,0.263671875
Qwen3-0.6B,5,0.5,0.25,1024,3072,1024,384,0.375,0.4718179255723953,1.0,4.096440320924379,0.13755766701600555,0.35316825026200416,0.3891923129558563,0.5544435381889343,4.096440320924379,290.4927894574779,290.4927894574779,290,0.4927894574778975,290,0,0.283203125
Qwen3-0.6B,6,0.5,0.25,1024,3072,1024,384,0.375,0.4493945389986038,0.9460016718920976,4.253970772206001,0.15542624622843954,0.35307010264435407,0.3801378905773163,0.5186511874198914,4.253970772206001,290.4120597338727,290.4120597338727,290,0.41205973387269523,290,0,0.283203125
Qwen3-0.6B,7,0.5,0.25,1024,3072,1024,384,0.375,0.3647387772798538,0.7421399767609806,4.370078285933584,0.16859624789682243,0.311982180112862,0.38119521737098694,0.3482823371887207,4.370078285933584,256.6158585738558,256.6158585738558,256,0.6158585738558031,257,1,0.2509765625
Qwen3-0.6B,8,0.5,0.25,1024,3072,1024,384,0.375,0.4264995753765106,0.8908677270878255,4.351884232834667,0.16653250798908847,0.3476163127637727,0.35653260350227356,0.4964665472507477,4.351884232834667,285.92613373585414,285.92613373585414,285,0.9261337358541368,286,1,0.279296875
Qwen3-0.6B,9,0.5,0.25,1024,3072,1024,384,0.375,0.3894316703081131,0.8016035611435347,4.531390529073648,0.1868937933620522,0.34057123530742284,0.30673232674598694,0.47213101387023926,4.531390529073648,280.13132007205286,280.13132007205286,280,0.13132007205285845,280,0,0.2734375
Qwen3-0.6B,10,0.5,0.25,1024,3072,1024,384,0.375,0.3316478729248047,0.6624529274889658,4.993031090779406,0.23925738958996565,0.3450562740647157,0.2906745970249176,0.3726211488246918,4.993031090779406,283.8204156191875,283.8204156191875,283,0.8204156191874858,284,1,0.27734375
Qwen3-0.6B,11,0.5,0.25,1024,3072,1024,384,0.375,0.3403451293706894,0.6833970121685015,4.875670815943235,0.22594528802330308,0.3403082190596027,0.291177898645401,0.3895123600959778,4.875670815943235,279.9149803431977,279.9149803431977,279,0.9149803431977261,280,1,0.2734375
Qwen3-0.6B,12,0.5,0.25,1024,3072,1024,384,0.375,0.3485386073589325,0.7031279351179878,4.9139201156992245,0.23028388184405066,0.34849489516253496,0.29044032096862793,0.40663689374923706,4.9139201156992245,286.6487973716576,286.6487973716576,286,0.6487973716576221,287,1,0.2802734375
