base_model_id,layer_index,alpha,w,hidden_size,intermediate_size,max_rank,uniform_rank,uniform_rank_ratio,rank_signal_raw,rank_signal,importance_signal_raw,importance_signal,protection_score,mlp_input_effective_rank_centered_ratio,mlp_output_effective_rank_centered_ratio,mlp_output_uncentered_trace_log,raw_rank,clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,target_rank_ratio
Qwen2.5-1.5B,0,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.31200867891311646,0.5022832831211574,5.095707493851573,0.0,0.12557082078028936,0.26855472723642987,0.35546263058980304,5.095707493851573,241.94166746416434,241.94166746416434,241,0.9416674641643397,242,1,0.15755208333333334
Qwen2.5-1.5B,1,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.09865132040188958,0.0,10.85194450053264,0.7844655449741961,0.5883491587306471,0.19663095474243164,0.0006716860613475243,10.85194450053264,1133.5927855683403,1133.5927855683403,1133,0.5927855683403322,1133,0,0.7376302083333334
Qwen2.5-1.5B,2,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.10414833781154205,0.012941011133436564,11.100949323199416,0.8184001629699066,0.6170353750107891,0.2076153556505839,0.000681319972500205,11.100949323199416,1188.8635161164727,1188.8635161164727,1188,0.8635161164727378,1189,1,0.7740885416666666
Qwen2.5-1.5B,3,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.19426631430784863,0.22509564886728503,5.901431419505626,0.10980483564233753,0.1386275389485744,0.22598308324813843,0.1625495453675588,5.901431419505626,267.098500441881,267.098500441881,267,0.09850044188101492,267,0,0.173828125
Qwen2.5-1.5B,4,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.35604904095331824,0.6059625646315393,5.934027217565152,0.11424702251875629,0.23717590804695204,0.285170316696167,0.42692776521046955,5.934027217565152,456.9750704712616,456.9750704712616,456,0.9750704712615743,457,1,0.2975260416666667
Qwen2.5-1.5B,5,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.2754272619883219,0.416163758946214,5.941860980011476,0.11531461523940366,0.19052690116610624,0.2627461552619934,0.28810836871465045,5.941860980011476,367.0948065678603,367.0948065678603,367,0.09480656786030295,367,0,0.23893229166666666
Qwen2.5-1.5B,6,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.5234262744585673,1.0,5.959551079675361,0.11772543912614956,0.3382940793446122,0.44796613852183026,0.5988864103953043,5.959551079675361,651.8029677698598,651.8029677698598,651,0.8029677698598334,652,1,0.4244791666666667
Qwen2.5-1.5B,7,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.5056321223576863,0.9581092248237717,5.94679231928521,0.11598666292373853,0.32651730339874685,0.4371483325958252,0.5741159121195475,5.94679231928521,629.1122439855508,629.1122439855508,629,0.11224398555077642,629,0,0.4095052083333333
Qwen2.5-1.5B,8,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.4865259528160095,0.9131297142400865,5.92384037832538,0.11285875021750862,0.3129264912231531,0.43888962268829346,0.5341622829437256,5.92384037832538,602.9263535093808,602.9263535093808,602,0.9263535093807604,603,1,0.392578125
Qwen2.5-1.5B,9,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.46152305603027344,0.8542682005209891,5.802451708221842,0.09631578488513252,0.2858038887940967,0.4441245396931966,0.4789215723673503,5.802451708221842,550.6682921470588,550.6682921470588,550,0.6682921470587644,550,0,0.3580729166666667
Qwen2.5-1.5B,10,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.4372164209683736,0.797045817633846,5.691156717453628,0.08114839593214984,0.2601227513575739,0.4135955174763997,0.4608373244603475,5.691156717453628,501.1875515167165,501.1875515167165,501,0.18755151671649628,501,0,0.326171875
Qwen2.5-1.5B,11,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.3934938311576843,0.6941146316184498,5.645983776604161,0.0749921838754825,0.2297727958112243,0.36632851759592694,0.4206591447194417,5.645983776604161,442.71123666332426,442.71123666332426,442,0.7112366633242573,443,1,0.2884114583333333
Qwen2.5-1.5B,12,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.42847232023874915,0.7764605626744452,5.542469279557011,0.060885128129763204,0.2397789867659337,0.37926193078358966,0.4776827096939087,5.542469279557011,461.99051276826503,461.99051276826503,461,0.9905127682650345,462,1,0.30078125
Qwen2.5-1.5B,13,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.44760364294052124,0.8214992885198946,5.349655116429361,0.03460822754677505,0.23133099279005495,0.4084198474884033,0.48678743839263916,5.349655116429361,445.7134689729747,445.7134689729747,445,0.713468972974681,446,1,0.2903645833333333
Qwen2.5-1.5B,14,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.44366528590520227,0.8122276565705366,5.474329259203706,0.05159894027145111,0.2417561193462225,0.4233919382095337,0.4639386336008708,5.474329259203706,465.79992287086964,465.79992287086964,465,0.7999228708696364,466,1,0.3033854166666667
Qwen2.5-1.5B,15,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.3448569575945536,0.5796142989160628,5.390246314853323,0.04014003531560931,0.17500860121572268,0.3444030284881592,0.34531088670094806,5.390246314853323,337.1951583623737,337.1951583623737,337,0.19515836237371786,337,0,0.21940104166666666
Qwen2.5-1.5B,16,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.38555396596590674,0.675422698122959,5.516437947867181,0.057337553077386985,0.21185883933877997,0.32248979806900024,0.4486181338628133,5.516437947867181,408.19579372131267,408.19579372131267,408,0.19579372131266837,408,0,0.265625
Qwen2.5-1.5B,17,0.5,0.25,1536,8960,1536,656,0.4270833333333333,0.36699069539705914,0.6317212736590987,5.820033122975589,0.09871179708723749,0.23196416623020277,0.285575012365977,0.4484063784281413,5.820033122975589,446.9334262604358,446.9334262604358,446,0.9334262604357946,447,1,0.291015625
