base_model_id,layer_index,alpha,w,hidden_size,intermediate_size,max_rank,uniform_rank,uniform_rank_ratio,rank_signal_raw,rank_signal,importance_signal_raw,importance_signal,protection_score,mlp_input_effective_rank_centered_ratio,mlp_output_effective_rank_centered_ratio,mlp_output_uncentered_trace_log,raw_rank,clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,target_rank_ratio
Qwen2.5-1.5B,0,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.31200867891311646,0.5022832831211574,5.095707493851573,0.0,0.2511416415605787,0.26855472723642987,0.35546263058980304,5.095707493851573,614.769674299819,614.769674299819,614,0.7696742998190302,615,1,0.400390625
Qwen2.5-1.5B,1,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.09865132040188958,0.0,10.85194450053264,0.7844655449741961,0.39223277248709804,0.19663095474243164,0.0006716860613475243,10.85194450053264,960.1466817419198,960.1466817419198,960,0.14668174191979233,960,0,0.625
Qwen2.5-1.5B,2,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.10414833781154205,0.012941011133436564,11.100949323199416,0.8184001629699066,0.4156705870516716,0.2076153556505839,0.000681319972500205,11.100949323199416,1017.5201126736707,1017.5201126736707,1017,0.5201126736707238,1018,1,0.6627604166666666
Qwen2.5-1.5B,3,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.19426631430784863,0.22509564886728503,5.901431419505626,0.10980483564233753,0.16745024225481128,0.22598308324813843,0.1625495453675588,5.901431419505626,409.90148130247377,409.90148130247377,409,0.9014813024737691,410,1,0.2669270833333333
Qwen2.5-1.5B,4,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.35604904095331824,0.6059625646315393,5.934027217565152,0.11424702251875629,0.3601047935751478,0.285170316696167,0.42692776521046955,5.934027217565152,881.5005957767341,881.5005957767341,881,0.5005957767341442,881,0,0.5735677083333334
Qwen2.5-1.5B,5,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.2754272619883219,0.416163758946214,5.941860980011476,0.11531461523940366,0.2657391870928088,0.2627461552619934,0.28810836871465045,5.941860980011476,650.5030089099664,650.5030089099664,650,0.503008909966411,650,0,0.4231770833333333
Qwen2.5-1.5B,6,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.5234262744585673,1.0,5.959551079675361,0.11772543912614956,0.5588627195630748,0.44796613852183026,0.5988864103953043,5.959551079675361,1368.0401623130604,1368.0401623130604,1368,0.040162313060363886,1368,0,0.890625
Qwen2.5-1.5B,7,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.5056321223576863,0.9581092248237717,5.94679231928521,0.11598666292373853,0.5370479438737551,0.4371483325958252,0.5741159121195475,5.94679231928521,1314.6397685666823,1314.6397685666823,1314,0.6397685666822781,1315,1,0.8561197916666666
Qwen2.5-1.5B,8,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.4865259528160095,0.9131297142400865,5.92384037832538,0.11285875021750862,0.5129942322287976,0.43888962268829346,0.5341622829437256,5.92384037832538,1255.758683049427,1255.758683049427,1255,0.7586830494269634,1256,1,0.8177083333333334
Qwen2.5-1.5B,9,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.46152305603027344,0.8542682005209891,5.802451708221842,0.09631578488513252,0.4752919927030608,0.4441245396931966,0.4789215723673503,5.802451708221842,1163.4673634196631,1163.4673634196631,1163,0.46736341966311556,1163,0,0.7571614583333334
Qwen2.5-1.5B,10,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.4372164209683736,0.797045817633846,5.691156717453628,0.08114839593214984,0.4390971067829979,0.4135955174763997,0.4608373244603475,5.691156717453628,1074.8658949808707,1074.8658949808707,1074,0.8658949808707348,1075,1,0.6998697916666666
Qwen2.5-1.5B,11,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.3934938311576843,0.6941146316184498,5.645983776604161,0.0749921838754825,0.3845534077469661,0.36632851759592694,0.4206591447194417,5.645983776604161,941.3483632679935,941.3483632679935,941,0.34836326799347717,941,0,0.6126302083333334
Qwen2.5-1.5B,12,0.8,0.5,1536,8960,1536,1049,0.6829427083333334,0.42847232023874915,0.7764605626744452,5.542469279557011,0.060885128129763204,0.4186728454021042,0.37926193078358966,0.4776827096939087,5.542469279557011,1024.8693414865045,1024.8693414865045,1024,0.8693414865044815,1025,1,0.6673177083333334
