base_model_id,layer_index,token_count,hidden_size,mlp_input_hook_name,mlp_output_hook_name,gate_proj_weight_effective_rank,gate_proj_weight_effective_rank_ratio,up_proj_weight_effective_rank,up_proj_weight_effective_rank_ratio,mean_weight_effective_rank_ratio,mlp_input_effective_rank_centered,mlp_input_effective_rank_centered_ratio,mlp_input_effective_rank_uncentered,mlp_input_effective_rank_uncentered_ratio,mlp_output_effective_rank_centered,mlp_output_effective_rank_centered_ratio,mlp_output_effective_rank_uncentered,mlp_output_effective_rank_uncentered_ratio,mlp_output_uncentered_trace,mlp_output_uncentered_trace_log,residual_stream_uncentered_trace,residual_stream_uncentered_trace_log,output_to_residual_trace_ratio
Qwen2.5-1.5B,0,65536,1536,post_attention_layernorm,mlp,1333.8199462890625,0.868372360865275,1386.3270263671875,0.9025566577911377,0.8854645093282063,412.50006103515625,0.26855472723642987,185.01290893554688,0.12045111258824666,545.9906005859375,0.35546263058980304,504.8263854980469,0.3286630113919576,163.31935119628906,5.095707493851573,153.65636324882507,5.034718701639072,1.0628870015087897
Qwen2.5-1.5B,1,65536,1536,post_attention_layernorm,mlp,1465.63427734375,0.9541889826456705,1478.0615234375,0.9622796376546224,0.9582343101501465,302.025146484375,0.19663095474243164,9.684906005859375,0.006305277347564697,1.0317097902297974,0.0006716860613475243,1.0332261323928833,0.0006726732632766167,51634.45703125,10.85194450053264,473.4790155887604,6.160107593985703,109.05331668615499
Qwen2.5-1.5B,2,65536,1536,post_attention_layernorm,mlp,1459.3551025390625,0.9501009782155355,1482.0340576171875,0.9648659229278564,0.957483450571696,318.8971862792969,0.2076153556505839,18.482362747192383,0.012032788246870041,1.046507477760315,0.000681319972500205,1.0475797653198242,0.0006820180763800939,66234.0078125,11.100949323199416,52207.61782836914,10.862983698632565,1.2686655811464558
Qwen2.5-1.5B,3,65536,1536,post_attention_layernorm,mlp,1462.628662109375,0.9522322018941244,1487.930419921875,0.9687047004699707,0.9604684511820476,347.1100158691406,0.22598308324813843,34.4838981628418,0.022450454533100128,249.6761016845703,0.1625495453675588,241.1235809326172,0.15698149800300598,365.56036376953125,5.901431419505626,233137.23400878906,12.359382546325161,0.0015680050650156978
Qwen2.5-1.5B,4,65536,1536,post_attention_layernorm,mlp,1466.880859375,0.9550005594889323,1489.017822265625,0.969412644704183,0.9622066020965576,438.0216064453125,0.285170316696167,85.71013641357422,0.055800870060920715,655.7610473632812,0.42692776521046955,623.3660888671875,0.4058372974395752,377.67242431640625,5.934027217565152,242681.50634765625,12.399505189172524,0.0015562472394388684
Qwen2.5-1.5B,5,65536,1536,post_attention_layernorm,mlp,1457.82568359375,0.9491052627563477,1491.6641845703125,0.9711355368296305,0.960120399792989,403.5780944824219,0.2627461552619934,62.42333984375,0.04064019521077474,442.5344543457031,0.28810836871465045,386.24114990234375,0.2514590819676717,380.64263916015625,5.941860980011476,248467.9832763672,12.423069276284107,0.0015319585008132545
Qwen2.5-1.5B,6,65536,1536,post_attention_layernorm,mlp,1462.0589599609375,0.951861302057902,1491.0369873046875,0.9707272052764893,0.9612942536671956,688.0759887695312,0.44796613852183026,270.18804931640625,0.17590367794036865,919.8895263671875,0.5988864103953043,870.3439331054688,0.5666301647822062,387.4361572265625,5.959551079675361,255200.2625732422,12.449803859344257,0.0015181651982641231
Qwen2.5-1.5B,7,65536,1536,post_attention_layernorm,mlp,1461.5404052734375,0.9515237013498942,1488.778564453125,0.9692568778991699,0.960390289624532,671.4598388671875,0.4371483325958252,302.7493896484375,0.19710246721903482,881.842041015625,0.5741159121195475,820.1470336914062,0.5339498917261759,382.52435302734375,5.94679231928521,255388.9053955078,12.450542781525469,0.0014978111615105117
Qwen2.5-1.5B,8,65536,1536,post_attention_layernorm,mlp,1455.482177734375,0.947579542795817,1484.957763671875,0.9667693773905436,0.9571744600931803,674.1344604492188,0.43888962268829346,286.84014892578125,0.1867448886235555,820.4732666015625,0.5341622829437256,771.4600830078125,0.5022526582082113,373.84466552734375,5.92384037832538,255540.16357421875,12.451134872257102,0.0014629585435745594
Qwen2.5-1.5B,9,65536,1536,post_attention_layernorm,mlp,1457.6317138671875,0.9489789803822836,1479.749755859375,0.9633787473042806,0.9561788638432821,682.17529296875,0.4441245396931966,318.1400451660156,0.2071224252382914,735.62353515625,0.4789215723673503,715.525390625,0.4658368428548177,331.1103515625,5.802451708221842,255655.31518554688,12.451585391160576,0.0012951436246189138
