layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,target_factorized_param_ratio,trace_aware_unscaled_rank_score,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
1,2048,2048,8192,16777216,10240,824.8893255585153,0.4027779909953688,39171.45914840698,10.575703677648638,0.5552089650732156,0.7776044825366077,6.159526540304157,14.113607643375175,0.5,0.5,0.5,641.4376371509006,1.357594939465202,870.8124901785792,870.8124901785792,870,0.8124901785791963,871,1,819,18018,round,819.2,18022.4,0.4998779296875
2,2048,2048,8192,16777216,10240,990.601973129815,0.48369236969229246,473.20397877693176,6.159526540304157,0.0,0.5,6.159526540304157,14.113607643375175,0.5,0.5,0.5,495.3009865649075,1.357594939465202,672.4181128726404,672.4181128726404,672,0.4181128726404495,672,0,819,18018,round,819.2,18022.4,0.4998779296875
3,2048,2048,8192,16777216,10240,961.8376609507995,0.4696472953861326,753.4285664558411,6.624634211257783,0.058474092095195204,0.5292370460475976,6.159526540304157,14.113607643375175,0.5,0.5,0.5,509.0401224589319,1.357594939465202,691.0702942349926,691.0702942349926,691,0.07029423499261611,691,0,819,18018,round,819.2,18022.4,0.4998779296875
4,2048,2048,8192,16777216,10240,996.0248692599905,0.48634026819335474,997.6607041358948,6.905413242690848,0.09377408813429242,0.5468870440671462,6.159526540304157,14.113607643375175,0.5,0.5,0.5,544.7130965669619,1.357594939465202,739.4997433597274,739.4997433597274,739,0.4997433597274039,739,0,819,18018,round,819.2,18022.4,0.4998779296875
5,2048,2048,8192,16777216,10240,1063.9233136189189,0.5194938054779877,1161.5891499519348,7.057544303420791,0.11290025227048733,0.5564501261352437,6.159526540304157,14.113607643375175,0.5,0.5,0.5,592.0202620614739,1.357594939465202,803.7237118355197,803.7237118355197,803,0.7237118355196799,804,1,819,18018,round,819.2,18022.4,0.4998779296875
6,2048,2048,8192,16777216,10240,1090.4834561259029,0.532462625061476,1586.4440546035767,7.369250346993714,0.1520884425257483,0.5760442212628741,6.159526540304157,14.113607643375175,0.5,0.5,0.5,628.1666932840933,1.357594939465202,852.7959239430747,852.7959239430747,852,0.7959239430747402,853,1,819,18018,round,819.2,18022.4,0.4998779296875
7,2048,2048,8192,16777216,10240,980.1560471271509,0.47859181988630417,1347292.583984375,14.113607643375175,1.0,1.0,6.159526540304157,14.113607643375175,0.5,0.5,0.5,980.1560471271509,1.357594939465202,1330.6548894660361,1330.6548894660361,1330,0.6548894660361384,1331,1,819,18018,round,819.2,18022.4,0.4998779296875
8,2048,2048,8192,16777216,10240,1093.4288601284886,0.5339008106096136,2976.4592094421387,7.998489688297337,0.23119743489705785,0.6155987174485289,6.159526540304157,14.113607643375175,0.5,0.5,0.5,673.1134039163045,1.357594939465202,913.8153508429715,913.8153508429715,913,0.8153508429714975,914,1,819,18018,round,819.2,18022.4,0.4998779296875
9,2048,2048,8192,16777216,10240,1006.7011238772125,0.49155328314317015,3368.540391921997,8.122234811399624,0.24675487283347894,0.6233774364167395,6.159526540304157,14.113607643375175,0.5,0.5,0.5,627.5547658404272,1.357594939465202,851.9651743422338,851.9651743422338,851,0.9651743422338086,852,1,819,18018,round,819.2,18022.4,0.4998779296875
10,2048,2048,8192,16777216,10240,928.3665324030624,0.4533039708999328,3637.64208984375,8.199090973216828,0.25641735437236224,0.6282086771861811,6.159526540304157,14.113607643375175,0.5,0.5,0.5,583.2079112648497,1.357594939465202,791.7601089892306,791.7601089892306,791,0.7601089892306163,792,1,819,18018,round,819.2,18022.4,0.4998779296875
11,2048,2048,8192,16777216,10240,888.7383725836512,0.43395428348811094,3470.3511600494385,8.152011066682155,0.2504983920277998,0.6252491960138999,6.159526540304157,14.113607643375175,0.5,0.5,0.5,555.6829529246297,1.357594939465202,754.3923648375574,754.3923648375574,754,0.3923648375573521,754,0,819,18018,round,819.2,18022.4,0.4998779296875
12,2048,2048,8192,16777216,10240,901.3801010988547,0.4401270024896751,3694.3032245635986,8.214547243087036,0.2583605417336579,0.6291802708668289,6.159526540304157,14.113607643375175,0.5,0.5,0.5,567.130576163347,1.357594939465202,769.9336002153442,769.9336002153442,769,0.9336002153441996,770,1,819,18018,round,819.2,18022.4,0.4998779296875
13,2048,2048,8192,16777216,10240,856.4252710062823,0.4181764018585363,4370.073686599731,8.38253514986961,0.2794802543196555,0.6397401271598278,6.159526540304157,14.113607643375175,0.5,0.5,0.5,547.889611776449,1.357594939465202,743.8121643332613,743.8121643332613,743,0.8121643332613075,744,1,819,18018,round,819.2,18022.4,0.4998779296875
14,2048,2048,8192,16777216,10240,762.987865309047,0.3725526686079331,5614.943168640137,8.633186745774953,0.31099258021341175,0.6554962901067058,6.159526540304157,14.113607643375175,0.5,0.5,0.5,500.1357151065153,1.357594939465202,678.9817158744152,678.9817158744152,678,0.9817158744151584,679,1,819,18018,round,819.2,18022.4,0.4998779296875
15,2048,2048,8192,16777216,10240,720.8234334155396,0.35196456709743146,8251.81477355957,9.018188427690987,0.3593956172112854,0.6796978086056427,6.159526540304157,14.113607643375175,0.5,0.5,0.5,489.94210808413766,1.357594939465202,665.1429265659383,665.1429265659383,665,0.14292656593829633,665,0,819,18018,round,819.2,18022.4,0.4998779296875
16,2048,2048,8192,16777216,10240,695.4465674062386,0.33957351924132745,13798.608741760254,9.532323050248566,0.42403345732069475,0.7120167286603474,6.159526540304157,14.113607643375175,0.5,0.5,0.5,495.16958988265776,1.357594939465202,672.2397294017557,672.2397294017557,672,0.23972940175565327,672,0,819,18018,round,819.2,18022.4,0.4998779296875
17,2048,2048,8192,16777216,10240,700.4301300554591,0.34200689944114215,22466.545852661133,10.019782630739838,0.4853176678001513,0.7426588339000757,6.159526540304157,14.113607643375175,0.5,0.5,0.5,520.1806236154656,1.357594939465202,706.1945822282091,706.1945822282091,706,0.19458222820912852,706,0,819,18018,round,819.2,18022.4,0.4998779296875
18,2048,2048,8192,16777216,10240,734.3524989949409,0.3585705561498735,40657.07601928711,10.612928171642396,0.5598888889401455,0.7799444444700727,6.159526540304157,14.113607643375175,0.5,0.5,0.5,572.7541518738188,1.357594939465202,777.5681381415802,777.5681381415802,777,0.5681381415802207,778,1,819,18018,round,819.2,18022.4,0.4998779296875
19,2048,2048,8192,16777216,10240,748.9519555192782,0.36569919703089754,71021.2113647461,11.170733863022217,0.6300171267782606,0.8150085633891303,6.159526540304157,14.113607643375175,0.5,0.5,0.5,610.4022573152467,1.357594939465202,828.6790155693151,828.6790155693151,828,0.6790155693150837,829,1,819,18018,round,819.2,18022.4,0.4998779296875
20,2048,2048,8192,16777216,10240,811.1774094245566,0.39608271944558426,90735.29177856445,11.41570166492627,0.6608148768551957,0.8304074384275979,6.159526540304157,14.113607643375175,0.5,0.5,0.5,673.6077546705808,1.357594939465202,914.4864789252978,914.4864789252978,914,0.48647892529777437,914,0,819,18018,round,819.2,18022.4,0.4998779296875
21,2048,2048,8192,16777216,10240,868.9595644392487,0.4242966623238519,120831.48272705078,11.702152149129137,0.6968278971514396,0.8484139485757198,6.159526540304157,14.113607643375175,0.5,0.5,0.5,737.2374152185406,1.357594939465202,1000.8697840850966,1000.8697840850966,1000,0.8697840850966259,1001,1,819,18018,round,819.2,18022.4,0.4998779296875
