layer_index,hook_name,activation_name,direct_target_weight_names,block_weight_names,token_count,hidden_size,effective_rank,effective_rank_ratio,second_moment_effective_rank,second_moment_effective_rank_ratio,covariance_trace,covariance_top_eigenvalue,second_moment_trace,second_moment_top_eigenvalue,positive_covariance_eigenvalues
0,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,362.8796201071691,0.3543746290109073,82.03758268571816,0.08011482684152164,134.26523252291224,8.714744958777917,207.52443113252716,77.24520403545938,1024
1,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,262.2024529454429,0.25605708295453405,12.857162909683435,0.01255582315398773,524.8272860578898,55.705617168889844,1482.7785204244035,986.1356113538192,1024
2,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,281.93664856087463,0.27532875836022913,20.120076497902303,0.019648512204982718,423.6454091028919,41.980053639580035,993.1036567855606,595.0150122987645,1024
3,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,292.0833408923468,0.28523763759018245,25.315953007477766,0.024722610358865006,550.0930737137891,58.274971840081975,1188.7722652457205,670.0648848268181,1024
4,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,359.6844260545283,0.35125432231887527,45.743965273859736,0.04467184108775365,532.7937017049459,42.481983459470094,986.9187965874439,467.320254243797,1024
5,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,398.52967784378495,0.38918913851932124,68.43265614266417,0.06682876576432048,433.45427932589126,27.90787966473711,722.5463742836178,298.00385853526177,1024
6,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,389.25570217615046,0.38013252165639694,70.58526026943925,0.06893091823187426,528.7273131576313,32.031562607208336,871.27929497007,350.9581149946468,1024
7,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,390.34994702892254,0.38120112014543217,63.4477277456691,0.06196067162662998,588.4916460808322,39.14225645738183,1000.9757714094768,423.04566479610855,1024
8,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,365.09176745313516,0.3565349291534523,65.76620063386832,0.06422480530651203,601.239264680047,41.28949386500035,999.5547363511314,409.1140733845741,1024
9,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,314.0995336284115,0.3067378258089956,41.42293174018309,0.04045208177752255,615.3654388732054,51.996823248565306,1150.263492226476,549.706442425176,1024
10,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,297.6489233918824,0.2906727767498852,34.709130067667196,0.033895634831706246,608.2014241588874,56.366309931611184,1192.1000440446348,603.9231370110444,1024
11,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,298.17511874460615,0.29118663939902945,52.71346152808463,0.051477989773520146,522.6472564307667,42.60110343262778,892.6908074063359,385.8492680358677,1024
12,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,297.402599929715,0.2904322264938623,52.84833699196918,0.0516097040937199,495.4470092274045,41.13400634510387,844.3510844680927,365.07556458107473,1024
