module_name,layer_index,block_name,out_features,in_features,num_singular_values,effective_rank,effective_rank_ratio,singular_value_effective_rank,singular_value_effective_rank_ratio,stable_rank,spectral_norm,frobenius_norm
model.layers.0.mlp.gate_proj,0,mlp.gate_proj,3072,1024,1024,735.4176635742188,0.718181312084198,942.10107421875,0.920020580291748,67.36933898925781,7.916100978851318,64.97441864013672
model.layers.0.mlp.up_proj,0,mlp.up_proj,3072,1024,1024,854.6103515625,0.8345804214477539,969.1163940429688,0.9464027285575867,272.5849609375,2.7778875827789307,45.86333465576172
model.layers.0.mlp.down_proj,0,mlp.down_proj,1024,3072,1024,837.189208984375,0.8175675868988037,968.28955078125,0.9455952644348145,124.09599304199219,4.17839241027832,46.54661178588867
model.layers.1.mlp.gate_proj,1,mlp.gate_proj,3072,1024,1024,779.0768432617188,0.7608172297477722,951.7923583984375,0.9294847249984741,72.2553482055664,9.134190559387207,77.64348602294922
model.layers.1.mlp.up_proj,1,mlp.up_proj,3072,1024,1024,833.3616333007812,0.8138297200202942,963.7587890625,0.9411706924438477,224.87149047851562,2.7657482624053955,41.4743766784668
model.layers.1.mlp.down_proj,1,mlp.down_proj,1024,3072,1024,810.2685546875,0.7912778854370117,958.6273193359375,0.9361594915390015,113.9785385131836,3.7814857959747314,40.371421813964844
model.layers.2.mlp.gate_proj,2,mlp.gate_proj,3072,1024,1024,755.8449096679688,0.7381297945976257,944.2846069335938,0.9221529364585876,83.8221206665039,7.698693752288818,70.48494720458984
model.layers.2.mlp.up_proj,2,mlp.up_proj,3072,1024,1024,817.9677124023438,0.7987965941429138,961.180419921875,0.938652753829956,79.01472473144531,4.722982883453369,41.98270034790039
model.layers.2.mlp.down_proj,2,mlp.down_proj,1024,3072,1024,816.1085815429688,0.7969810366630554,958.5765380859375,0.9361099004745483,110.61298370361328,3.996126174926758,42.028343200683594
model.layers.3.mlp.gate_proj,3,mlp.gate_proj,3072,1024,1024,790.007080078125,0.771491289138794,951.048828125,0.9287586212158203,74.53206634521484,8.18877124786377,70.69526672363281
model.layers.3.mlp.up_proj,3,mlp.up_proj,3072,1024,1024,836.830810546875,0.8172175884246826,963.2694702148438,0.9406928420066833,240.1704559326172,2.816108226776123,43.642452239990234
model.layers.3.mlp.down_proj,3,mlp.down_proj,1024,3072,1024,806.469482421875,0.7875678539276123,954.0693359375,0.9317083358764648,151.16661071777344,3.4595682621002197,42.535335540771484
model.layers.4.mlp.gate_proj,4,mlp.gate_proj,3072,1024,1024,763.8303833007812,0.7459281086921692,944.748046875,0.9226055145263672,52.951011657714844,9.310973167419434,67.75357055664062
model.layers.4.mlp.up_proj,4,mlp.up_proj,3072,1024,1024,829.2371826171875,0.8098019361495972,960.8335571289062,0.9383140206336975,139.36659240722656,3.739156484603882,44.14209747314453
model.layers.4.mlp.down_proj,4,mlp.down_proj,1024,3072,1024,803.9530029296875,0.785110354423523,951.9421997070312,0.9296310544013977,139.75653076171875,3.625950813293457,42.86550521850586
model.layers.5.mlp.gate_proj,5,mlp.gate_proj,3072,1024,1024,772.1902465820312,0.7540920376777649,943.2455444335938,0.9211382269859314,78.18749237060547,6.905397415161133,61.06007385253906
model.layers.5.mlp.up_proj,5,mlp.up_proj,3072,1024,1024,822.4195556640625,0.803144097328186,957.279296875,0.9348430633544922,242.81349182128906,2.9865944385528564,46.53853225708008
model.layers.5.mlp.down_proj,5,mlp.down_proj,1024,3072,1024,803.6429443359375,0.784807562828064,953.0926513671875,0.930754542350769,129.4297332763672,3.974937677383423,45.22174835205078
model.layers.6.mlp.gate_proj,6,mlp.gate_proj,3072,1024,1024,762.4839477539062,0.7446132302284241,942.0485229492188,0.9199692606925964,64.86418151855469,7.3755903244018555,59.40176010131836
model.layers.6.mlp.up_proj,6,mlp.up_proj,3072,1024,1024,823.687255859375,0.8043820858001709,956.8179321289062,0.934392511844635,276.3681945800781,2.7945358753204346,46.457271575927734
model.layers.6.mlp.down_proj,6,mlp.down_proj,1024,3072,1024,763.025146484375,0.7451417446136475,937.05810546875,0.9150958061218262,132.51113891601562,3.875181198120117,44.60856246948242
model.layers.7.mlp.gate_proj,7,mlp.gate_proj,3072,1024,1024,742.9056396484375,0.7254937887191772,933.7267456054688,0.9118425250053406,65.11835479736328,7.404042720794678,59.74761962890625
model.layers.7.mlp.up_proj,7,mlp.up_proj,3072,1024,1024,812.7237548828125,0.7936755418777466,952.9781494140625,0.9306427240371704,230.67933654785156,3.037421703338623,46.13275909423828
model.layers.7.mlp.down_proj,7,mlp.down_proj,1024,3072,1024,760.3701171875,0.742548942565918,934.385009765625,0.9124853610992432,94.3114013671875,4.508680820465088,43.78562927246094
model.layers.8.mlp.gate_proj,8,mlp.gate_proj,3072,1024,1024,745.6567993164062,0.728180468082428,934.2540283203125,0.9123574495315552,74.35552215576172,6.773316860198975,58.40607452392578
model.layers.8.mlp.up_proj,8,mlp.up_proj,3072,1024,1024,809.1415405273438,0.7901772856712341,952.565185546875,0.9302394390106201,198.0528564453125,3.279545783996582,46.15346145629883
model.layers.8.mlp.down_proj,8,mlp.down_proj,1024,3072,1024,739.8497924804688,0.7225095629692078,927.9140625,0.9061660766601562,98.55422973632812,4.472670078277588,44.402198791503906
model.layers.9.mlp.gate_proj,9,mlp.gate_proj,3072,1024,1024,717.4553833007812,0.7006400227546692,924.2739868164062,0.9026113152503967,75.10208129882812,6.910012722015381,59.8831787109375
model.layers.9.mlp.up_proj,9,mlp.up_proj,3072,1024,1024,797.988037109375,0.779285192489624,948.514892578125,0.9262840747833252,236.08648681640625,3.0533437728881836,46.91495132446289
model.layers.9.mlp.down_proj,9,mlp.down_proj,1024,3072,1024,742.5174560546875,0.7251147031784058,928.2305297851562,0.9064751267433167,105.19157409667969,4.221611976623535,43.298095703125
model.layers.10.mlp.gate_proj,10,mlp.gate_proj,3072,1024,1024,717.4085083007812,0.7005942463874817,922.3685302734375,0.9007505178451538,85.91633605957031,6.421482563018799,59.52140808105469
model.layers.10.mlp.up_proj,10,mlp.up_proj,3072,1024,1024,790.6590576171875,0.7721279859542847,946.811279296875,0.9246203899383545,221.763916015625,3.116114854812622,46.40437316894531
model.layers.10.mlp.down_proj,10,mlp.down_proj,1024,3072,1024,757.9859619140625,0.7402206659317017,935.652099609375,0.9137227535247803,112.89762878417969,3.9453437328338623,41.92057800292969
model.layers.11.mlp.gate_proj,11,mlp.gate_proj,3072,1024,1024,725.152099609375,0.7081563472747803,925.227783203125,0.9035427570343018,93.17691802978516,5.7083001136779785,55.101192474365234
model.layers.11.mlp.up_proj,11,mlp.up_proj,3072,1024,1024,787.5641479492188,0.7691056132316589,944.6620483398438,0.9225215315818787,241.53880310058594,3.0783424377441406,47.84211349487305
model.layers.11.mlp.down_proj,11,mlp.down_proj,1024,3072,1024,720.080078125,0.7032032012939453,922.4151611328125,0.9007960557937622,83.22733306884766,4.8746657371521,44.47109603881836
model.layers.12.mlp.gate_proj,12,mlp.gate_proj,3072,1024,1024,716.5463256835938,0.6997522711753845,922.6689453125,0.9010438919067383,100.8367919921875,5.247983932495117,52.69895553588867
model.layers.12.mlp.up_proj,12,mlp.up_proj,3072,1024,1024,788.1972045898438,0.7697238326072693,945.1932373046875,0.9230402708053589,243.63848876953125,3.0243656635284424,47.20709228515625
model.layers.12.mlp.down_proj,12,mlp.down_proj,1024,3072,1024,697.298828125,0.6809558868408203,915.6956176757812,0.8942340016365051,78.4737548828125,4.999640464782715,44.28952407836914
model.layers.13.mlp.gate_proj,13,mlp.gate_proj,3072,1024,1024,696.1224365234375,0.6798070669174194,915.2879028320312,0.8938358426094055,105.4997787475586,4.925474643707275,50.591068267822266
model.layers.13.mlp.up_proj,13,mlp.up_proj,3072,1024,1024,769.9320068359375,0.7518867254257202,938.4989013671875,0.916502833366394,243.33192443847656,2.9029603004455566,45.2835693359375
model.layers.13.mlp.down_proj,13,mlp.down_proj,1024,3072,1024,683.8978881835938,0.6678690314292908,909.2930297851562,0.8879814743995667,78.80449676513672,4.797845363616943,42.59138488769531
model.layers.14.mlp.gate_proj,14,mlp.gate_proj,3072,1024,1024,691.8539428710938,0.6756386160850525,913.1614379882812,0.8917592167854309,103.19258117675781,4.76096773147583,48.36369323730469
model.layers.14.mlp.up_proj,14,mlp.up_proj,3072,1024,1024,766.0294189453125,0.7480756044387817,937.1492919921875,0.9151848554611206,233.34918212890625,2.859872341156006,43.68675994873047
model.layers.14.mlp.down_proj,14,mlp.down_proj,1024,3072,1024,679.710205078125,0.6637794971466064,909.9835205078125,0.8886557817459106,82.19914245605469,4.618951797485352,41.877140045166016
model.layers.15.mlp.gate_proj,15,mlp.gate_proj,3072,1024,1024,691.748046875,0.6755352020263672,914.3740234375,0.8929433822631836,98.31002807617188,4.901305675506592,48.59714126586914
model.layers.15.mlp.up_proj,15,mlp.up_proj,3072,1024,1024,766.9595947265625,0.7489839792251587,938.0957641601562,0.9161091446876526,227.90853881835938,2.952578544616699,44.574012756347656
