base_model_id,layer_index,final_layer_index,hidden_size,token_count,gaussian_mi_cca,gaussian_mi_logdet,gaussian_mi_bits,mlp_output_effective_rank_centered,mlp_output_effective_rank_centered_ratio,top_5_canonical_correlations,cca_effective_dims_l,cca_effective_dims_L
SmolLM2-1.7B,0,23,2048,65536,116.1359634399414,117.8011474609375,167.54877852366542,195.88519287109375,0.09564706683158875,"0.961877,0.955371,0.952125,0.938564,0.933230",2048,2047
SmolLM2-1.7B,1,23,2048,65536,19.506567001342773,115.80712890625,28.142027477605517,1.0952885150909424,0.0005348088452592492,"0.941573,0.932547,0.923067,0.903242,0.887453",70,2047
SmolLM2-1.7B,2,23,2048,65536,117.04165649414062,116.9796142578125,168.8554174015262,1001.2721557617188,0.48890241980552673,"0.953467,0.945190,0.937915,0.917843,0.908407",2048,2047
SmolLM2-1.7B,3,23,2048,65536,122.1767349243164,122.280517578125,176.26376958731672,977.8156127929688,0.4774490296840668,"0.954588,0.947512,0.934615,0.923193,0.908100",2048,2047
SmolLM2-1.7B,4,23,2048,65536,117.43672180175781,117.325927734375,169.42537616165282,971.2861328125,0.4742608070373535,"0.954142,0.942027,0.931718,0.917058,0.906129",2048,2047
SmolLM2-1.7B,5,23,2048,65536,111.4747314453125,111.44677734375,160.82404224058135,1112.782470703125,0.5433508157730103,"0.948288,0.931569,0.923029,0.906477,0.899050",2048,2047
SmolLM2-1.7B,6,23,2048,65536,110.07633972167969,110.0576171875,158.8065894356761,870.9442749023438,0.42526575922966003,"0.945280,0.942007,0.935227,0.918002,0.906796",2048,2047
SmolLM2-1.7B,7,23,2048,65536,1.431853175163269,107.3271484375,2.0657274750891648,1.1187427043914795,0.0005462610861286521,"0.804453,0.750746,0.674517,0.497880,0.309920",5,2047
SmolLM2-1.7B,8,23,2048,65536,126.10211181640625,126.138427734375,181.92689136315485,907.3184204101562,0.4430265724658966,"0.950892,0.941652,0.934021,0.924454,0.917793",2048,2047
SmolLM2-1.7B,9,23,2048,65536,126.17977905273438,126.237548828125,182.03894149984498,874.8480834960938,0.427171915769577,"0.948053,0.938797,0.932197,0.925987,0.920776",2048,2047
SmolLM2-1.7B,10,23,2048,65536,130.27285766601562,130.329833984375,187.94400571719453,887.239990234375,0.4332226514816284,"0.954402,0.946703,0.939780,0.930801,0.926116",2048,2047
SmolLM2-1.7B,11,23,2048,65536,131.4978790283203,131.5126953125,189.71133796157454,827.1334838867188,0.4038737714290619,"0.952503,0.943596,0.937426,0.930776,0.928076",2048,2047
SmolLM2-1.7B,12,23,2048,65536,134.80865478515625,134.8193359375,194.48777772745714,916.3731079101562,0.447447806596756,"0.957948,0.947532,0.944048,0.935919,0.926860",2048,2047
SmolLM2-1.7B,13,23,2048,65536,136.354736328125,136.370849609375,196.71830190230813,892.5807495117188,0.4358304440975189,"0.960256,0.953837,0.947840,0.938143,0.925993",2048,2047
SmolLM2-1.7B,14,23,2048,65536,148.4893798828125,148.51806640625,214.224891981611,806.2479858398438,0.3936757743358612,"0.966097,0.960296,0.959010,0.945915,0.934173",2048,2047
SmolLM2-1.7B,15,23,2048,65536,169.0013427734375,169.0537109375,243.81739912281415,932.0825805664062,0.45511844754219055,"0.971802,0.967395,0.965366,0.950264,0.945957",2048,2047
SmolLM2-1.7B,16,23,2048,65536,189.0785369873047,189.154296875,272.78266765012495,993.5062255859375,0.48511046171188354,"0.975323,0.970965,0.970651,0.956217,0.951686",2048,2047
SmolLM2-1.7B,17,23,2048,65536,215.37911987304688,215.44384765625,310.72638815187435,970.1173706054688,0.47369012236595154,"0.977975,0.974018,0.972773,0.957372,0.952767",2048,2047
SmolLM2-1.7B,18,23,2048,65536,247.53793334960938,247.60498046875,357.1217488753842,950.330322265625,0.4640284776687622,"0.981217,0.978970,0.975460,0.963273,0.960810",2048,2047
SmolLM2-1.7B,19,23,2048,65536,289.7987060546875,289.880859375,418.0911560811361,863.6491088867188,0.42170366644859314,"0.982035,0.980623,0.973766,0.969479,0.968887",2048,2047
SmolLM2-1.7B,20,23,2048,65536,301.1628112792969,301.2451171875,434.4860943328204,657.2125854492188,0.32090458273887634,"0.979336,0.977003,0.970601,0.970070,0.965925",2048,2047
SmolLM2-1.7B,21,23,2048,65536,306.8116149902344,306.92626953125,442.6355954335451,449.2689208984375,0.21936959028244019,"0.981734,0.975797,0.972091,0.967538,0.965348",2048,2047
SmolLM2-1.7B,22,23,2048,65536,339.251953125,339.58447265625,489.4371103853326,22.45616912841797,0.010964926332235336,"0.992872,0.988885,0.988248,0.984348,0.979844",2046,2047
SmolLM2-1.7B,23,23,2048,65536,nan,nan,nan,35.26959991455078,0.01722148433327675,,0,0
