base_model_id,layer_index,final_layer_index,hidden_size,token_count,gaussian_mi_cca,gaussian_mi_logdet,gaussian_mi_bits,mlp_output_effective_rank_centered,mlp_output_effective_rank_centered_ratio,top_5_canonical_correlations,cca_effective_dims_l,cca_effective_dims_L
Qwen2.5-1.5B,0,27,1536,65536,72.77975463867188,72.77587890625,104.99899109432745,545.6663208007812,0.3552515109380086,"0.955831,0.939773,0.936327,0.917603,0.908319",1536,1536
Qwen2.5-1.5B,1,27,1536,65536,11.935633659362793,76.12158203125,17.219479490230093,1.0326859951019287,0.0006723216113944849,"0.982577,0.931445,0.904877,0.886092,0.874270",28,1536
Qwen2.5-1.5B,2,27,1536,65536,11.600849151611328,108.04248046875,16.736487541130604,1.0474995374679565,0.0006819658447057009,"0.971642,0.928634,0.903374,0.885822,0.850911",31,1536
Qwen2.5-1.5B,3,27,1536,65536,76.27145385742188,76.272216796875,110.03644824149394,250.65115356445312,0.16318434476852417,"0.974123,0.931276,0.925945,0.907239,0.880602",1536,1536
Qwen2.5-1.5B,4,27,1536,65536,74.28506469726562,74.28143310546875,107.17069445086092,656.7971801757812,0.4276023308436076,"0.973879,0.925507,0.920527,0.909951,0.883627",1536,1536
Qwen2.5-1.5B,5,27,1536,65536,77.14222717285156,77.140869140625,111.29270858540279,442.80718994140625,0.28828593095143634,"0.974464,0.930795,0.927723,0.901742,0.878496",1536,1536
Qwen2.5-1.5B,6,27,1536,65536,73.8787612915039,73.87841796875,106.5845225422722,919.8973999023438,0.598891536394755,"0.927950,0.926458,0.913688,0.892027,0.883204",1536,1536
Qwen2.5-1.5B,7,27,1536,65536,73.158203125,73.16473388671875,105.54497684878497,881.6276245117188,0.5739763180414835,"0.924287,0.920692,0.905857,0.889539,0.879958",1536,1536
Qwen2.5-1.5B,8,27,1536,65536,71.50074005126953,71.50372314453125,103.15376309185744,820.2322998046875,0.5340054035186768,"0.922841,0.911336,0.896445,0.881073,0.876753",1536,1536
Qwen2.5-1.5B,9,27,1536,65536,68.00739288330078,68.0057373046875,98.11392845652543,735.2823486328125,0.4786994457244873,"0.918242,0.898453,0.887819,0.872385,0.870522",1536,1536
Qwen2.5-1.5B,10,27,1536,65536,71.69161224365234,71.6883544921875,103.42913345725174,707.7469482421875,0.4607727527618408,"0.929766,0.913856,0.899497,0.889141,0.883863",1536,1536
Qwen2.5-1.5B,11,27,1536,65536,76.5385513305664,76.5416259765625,110.42178844143353,645.7862548828125,0.42043375968933105,"0.936112,0.918217,0.908985,0.896477,0.889699",1536,1536
Qwen2.5-1.5B,12,27,1536,65536,73.18183135986328,73.18408203125,105.57906518604719,733.505859375,0.4775428771972656,"0.944809,0.924504,0.912082,0.901258,0.890793",1536,1536
Qwen2.5-1.5B,13,27,1536,65536,63.773868560791016,63.778564453125,92.00624391095778,747.470947265625,0.4866347312927246,"0.927966,0.907506,0.893892,0.883898,0.876541",1536,1536
Qwen2.5-1.5B,14,27,1536,65536,62.652000427246094,62.6510009765625,90.38773031816116,712.5965576171875,0.46393005053202313,"0.923306,0.908158,0.892452,0.883606,0.878180",1536,1536
Qwen2.5-1.5B,15,27,1536,65536,72.96244812011719,72.9619140625,105.26256207401134,529.9462890625,0.3450171152750651,"0.938185,0.921251,0.907870,0.898784,0.898081",1536,1536
Qwen2.5-1.5B,16,27,1536,65536,77.55086517333984,77.5496826171875,111.88224860222601,688.7069091796875,0.4483768939971924,"0.951473,0.934254,0.921672,0.918836,0.906427",1536,1536
Qwen2.5-1.5B,17,27,1536,65536,83.04914093017578,83.0460205078125,119.81458377005323,688.7174072265625,0.44838372866312665,"0.961397,0.947045,0.942690,0.924041,0.915746",1536,1536
Qwen2.5-1.5B,18,27,1536,65536,85.08097839355469,85.0863037109375,122.7459056023624,715.5036010742188,0.46582265694936115,"0.961863,0.948302,0.946311,0.933110,0.918619",1536,1536
Qwen2.5-1.5B,19,27,1536,65536,99.6317138671875,99.63067626953125,143.73817951145958,676.7120361328125,0.4405677318572998,"0.965804,0.955680,0.953488,0.933436,0.929373",1536,1536
Qwen2.5-1.5B,20,27,1536,65536,110.09957885742188,110.09747314453125,158.8401164215659,762.6890258789062,0.4965423345565796,"0.966345,0.959982,0.955577,0.935908,0.931288",1536,1536
Qwen2.5-1.5B,21,27,1536,65536,129.81527709960938,129.81561279296875,187.28385650323307,797.9500122070312,0.5194987058639526,"0.972809,0.964777,0.961980,0.942846,0.939831",1536,1536
Qwen2.5-1.5B,22,27,1536,65536,159.63916015625,159.63946533203125,230.31062468910088,767.6954345703125,0.4998017152150472,"0.975353,0.969858,0.962713,0.949771,0.946485",1536,1536
Qwen2.5-1.5B,23,27,1536,65536,177.56411743164062,177.5634765625,256.1708716584535,738.1207275390625,0.48054734865824383,"0.976173,0.969950,0.964795,0.947344,0.944741",1536,1536
Qwen2.5-1.5B,24,27,1536,65536,173.52557373046875,173.5245361328125,250.34448468835944,608.7916870117188,0.3963487545649211,"0.975062,0.966435,0.959341,0.957370,0.954765",1536,1536
Qwen2.5-1.5B,25,27,1536,65536,182.3017578125,182.30255126953125,263.0058419414346,663.394775390625,0.4318976402282715,"0.981974,0.975629,0.966228,0.964583,0.953733",1536,1536
Qwen2.5-1.5B,26,27,1536,65536,112.95603942871094,233.59210205078125,162.9611179222595,1.25700843334198,0.0008183648654570183,"0.983908,0.977360,0.974780,0.970819,0.961528",569,1536
Qwen2.5-1.5B,27,27,1536,65536,nan,nan,nan,40.817474365234375,0.02657387653986613,,0,0
